time,price,true_change_pct,flow_1min,flow_5min,flow_15min,flow_sustainability,confidence
13:56:12,10.99,3.4839924670433238,-6147841.0,-6294825.0,-8290176.0,1.3169827596478059,0.34375856923941495
13:56:15,10.99,3.4839924670433238,-6147841.0,-6294825.0,-8290176.0,1.3169827596478059,0.34375856923941495
13:56:18,10.99,3.4839924670433238,-5692864.0,-6159527.0,-8290176.0,1.3459111389559621,0.34876684372158995
13:56:21,10.99,3.4839924670433238,-5692864.0,-6609077.0,-8290176.0,1.2543621446686126,0.3333447785782967
13:56:24,10.99,3.4839924670433238,-6344368.0,-6487087.0,-8290176.0,1.2779504884087418,0.3371952035756645
13:56:27,10.98,3.389830508474588,-6552196.0,-6846721.0,-8595420.0,1.2554067852333985,0.338376229395573
13:56:30,10.97,3.2956685499058516,-6601605.0,-6824803.0,-8774231.0,1.285638721000445,0.345999718933452
13:56:33,10.97,3.2956685499058516,-6821898.0,-6824803.0,-8232313.0,1.2062345242785761,0.324825266474287
13:56:36,10.97,3.2956685499058516,-6549822.0,-6824803.0,-8232313.0,1.2062345242785761,0.324825266474287
13:56:39,10.97,3.2956685499058516,-6549822.0,-6824803.0,-7979137.0,1.1691380688937103,0.31493287837165607
13:56:42,10.97,3.2956685499058516,-6549822.0,-4881371.0,-8716321.0,1.7856296929694546,0.4404620047918546
13:56:45,10.97,3.2956685499058516,-6549822.0,-5021105.0,-8243945.0,1.6418587143666583,0.4049177571644422
13:56:48,10.97,3.2956685499058516,-3008089.0,-4859337.0,-8243945.0,1.696516417774688,0.4162577847399168
13:56:51,10.97,3.2956685499058516,-2481333.0,-4859337.0,-8243945.0,1.696516417774688,0.4162577847399168
13:56:54,10.97,3.2956685499058516,-2046833.0,-4859337.0,-8243945.0,1.696516417774688,0.4162577847399168
13:56:57,10.97,3.2956685499058516,-2046833.0,-4859337.0,-8243945.0,1.696516417774688,0.4162577847399168
13:57:00,10.97,3.2956685499058516,-2046833.0,-5586841.0,-7383275.0,1.321547364601928,0.3308161172271808
13:57:03,10.97,3.2956685499058516,-2046833.0,-5384077.0,-7728515.0,1.435439166267496,0.3571319843379989
13:57:06,10.98,3.389830508474588,-1527479.0,-5177461.0,-7209161.0,1.3924124199100678,0.3415258653093515
13:57:09,10.98,3.389830508474588,-1527479.0,-4993533.0,-7209161.0,1.4436994809086072,0.35152385490896193
