time,price,true_change_pct,flow_1min,flow_5min,flow_15min,flow_sustainability,confidence
09:36:54,27.34,0.5516734093416644,14820901.0,-67518818.0,-105553141.0,1.563314408140261,0.8835505088374029
09:36:57,27.27,0.2942258183155509,15508696.0,-70668503.0,-108702826.0,1.5382075661062184,0.8768553509616582
09:37:00,27.27,0.2942258183155509,16434490.0,-67201215.0,-108702826.0,1.6175723310955017,0.8980192882921338
09:37:03,27.26,0.2574475910261136,17706164.0,-65223769.0,-109714172.0,1.6821194739604821,0.9152318597227952
09:37:06,27.25,0.22066936373666318,16733339.0,-63473320.0,-110686997.0,1.7438350002804328,0.9316893334081154
09:37:09,27.24,0.18389113644721278,15973343.0,-61982466.0,-111446993.0,1.7980406426552955,0.9461441713747455
09:37:12,27.27,0.2942258183155509,19828664.0,-48596261.0,-99892694.0,2.055563369371154,1.0
09:37:15,27.28,0.3310040456050013,16785581.0,-47071309.0,-98367742.0,2.0897600701947763,1.0
09:37:18,27.34,0.5516734093416644,20741319.0,-39944565.0,-97413576.0,2.438719159915748,1.0
09:37:21,27.36,0.6252298639205521,18456499.0,-35038971.0,-96759672.0,2.761487259428937,1.0
09:37:24,27.36,0.6252298639205521,18456499.0,-28009231.0,-96759672.0,3.454563675811021,0.96018462
09:37:27,27.37,0.6620080912100026,17868111.0,-22547360.0,-95793511.0,4.248546659121068,0.8509472
09:37:30,27.37,0.6620080912100026,17868111.0,-17133952.0,-95793511.0,5.590859073259923,0.7426790400000001
09:37:33,27.38,0.69878631849944,16609289.0,-9751231.0,-93928933.0,9.632520550482292,0.59502462
09:37:36,27.37,0.6620080912100026,12829254.0,-3293246.0,-95557448.0,29.016188890839008,0.46586492
09:37:39,27.39,0.7355645457888903,14880765.0,-1241735.0,-93505937.0,75.30265072660431,0.4248347
09:37:42,27.38,0.69878631849944,11088229.0,-2369791.0,-94633993.0,39.9334764120549,0.44739582
09:37:45,27.38,0.69878631849944,10058265.0,-2369791.0,-94633993.0,39.9334764120549,0.44739582
09:37:48,27.38,0.69878631849944,9629027.0,6986873.0,-94633993.0,-13.544541742779638,0.13973746
09:37:51,27.38,0.69878631849944,8734682.0,16744541.0,-94633993.0,-5.651632552961589,0.33489082000000003
09:37:54,27.33,0.5148951820522141,5414087.0,24002050.0,-97954588.0,-4.081092573342693,0.480041
09:37:57,27.36,0.6252298639205521,9502809.0,57216958.0,-96050332.0,-1.6787039255040437,0.6
09:38:00,27.34,0.5516734093416644,12163108.0,49208072.0,-96539718.0,-1.9618675163700785,0.6
09:38:03,27.33,0.5148951820522141,10944190.0,40720763.0,-97758636.0,-2.4007073737788263,0.6
09:38:06,27.3,0.404560500183889,10893566.0,39658793.0,-98820606.0,-2.4917703874648933,0.6
09:38:09,27.28,0.3310040456050013,10469655.0,38262057.0,-100217342.0,-2.6192356046095484,0.6
09:38:12,27.3,0.404560500183889,11721051.0,34006182.0,-99725942.0,-2.932582728634458,0.6
09:38:15,27.29,0.36778227289443866,-2177458.999999999,26300131.0,-102070153.0,-3.880975079553786,0.52600262
09:38:18,27.27,0.2942258183155509,-4798664.999999999,25203877.0,-103166407.0,-4.093275292527416,0.5040775399999999
09:38:21,27.27,0.2942258183155509,-5752830.999999999,32859027.0,-103166407.0,-3.1396671301313943,0.6
09:38:24,27.26,0.2574475910261136,-6921948.999999999,38022509.0,-103681621.0,-2.7268484833549516,0.6
09:38:27,27.25,0.22066936373666318,-7946548.999999999,50649041.0,-104706221.0,-2.067289309584361,0.6
09:38:30,27.23,0.14711290915777545,-9729610.0,49832141.0,-105523121.0,-2.117571488650267,0.6
09:38:33,27.22,0.11033468186832505,-12606764.0,42156061.0,-108400275.0,-2.5714042637902055,0.6
09:38:36,27.2,0.03677822728943733,-14721582.0,47028697.0,-108650515.0,-2.3103024734025697,0.6
09:38:39,27.2,0.03677822728943733,-13093067.0,41026000.0,-108650515.0,-2.6483331302101107,0.6
09:38:42,27.19,0.0,-16648185.0,43896893.0,-110154122.0,-2.509383112832154,0.6
09:38:45,27.18,-0.0367782272894504,-16422505.0,37468481.0,-111056498.0,-2.9639978733058325,0.6
09:38:48,27.18,-0.0367782272894504,-16422505.0,34511981.0,-111056498.0,-3.2179114261797954,0.6
09:38:51,27.17,-0.07355645457888772,-16743111.0,40603408.0,-111377104.0,-2.743048169749692,0.6
09:38:54,27.17,-0.07355645457888772,-16743111.0,37281178.0,-111377104.0,-2.9874888610011197,0.6
09:38:57,27.16,-0.11033468186833811,-14269908.0,38968147.0,-112224496.0,-2.879903322064557,0.6
09:39:00,27.16,-0.11033468186833811,-16174164.0,33555343.0,-112224496.0,-3.3444598077867957,0.6
09:39:03,27.15,-0.14711290915778852,-17514688.0,31725433.0,-114054406.0,-3.595046472651768,0.6
09:39:06,27.15,-0.14711290915778852,-16295770.0,31725433.0,-114054406.0,-3.595046472651768,0.6
09:39:09,27.14,-0.18389113644722585,-16102280.0,27621462.0,-114922886.0,-4.160637333389522,0.55242924
09:39:12,27.13,-0.22066936373667623,-15975228.0,23254553.0,-116192570.0,-4.996551428014978,0.46509106
09:39:15,27.12,-0.2574475910261136,-17822628.0,-5214997.0,-117548570.0,22.540486600471677,0.50429994
09:39:18,27.12,-0.2574475910261136,-15478417.0,-5214997.0,-117548570.0,22.540486600471677,0.50429994
09:39:21,27.12,-0.2574475910261136,-14382163.0,-7144296.999999999,-117548570.0,16.453483106875318,0.54288594
09:39:24,27.15,-0.14711290915778852,-522088.0,8853698.0,-103688495.0,-11.711320512626475,0.17707396
09:39:27,27.18,-0.0367782272894504,1460846.0,10321418.0,-102220775.0,-9.903753050210737,0.20642835999999998
09:39:30,27.26,0.2574475910261136,4371838.0,5855100.0,-100334383.0,-17.13623729739885,0.117102
09:39:33,27.36,0.6252298639205521,11281810.0,8973618.0,-94241311.0,-10.502041762865323,0.17947236
09:39:36,27.37,0.6620080912100026,20421220.0,15235874.0,-87979055.0,-5.774467221243757,0.30471748
09:39:39,27.36,0.6252298639205521,10704212.0,5268626.0,-97946303.0,-18.590483173411815,0.10537252000000001
09:39:42,27.28,0.3310040456050013,6233020.0,4102840.0,-102417495.0,-24.962585672363534,0.08205679999999999
09:39:45,27.44,0.9194556822361162,13287739.0,11505570.0,-96866383.0,-8.419085973141705,0.2301114
09:39:48,27.4,0.7723427730783277,8592295.0,7657680.0,-102464203.0,-13.380580410777155,0.15315359999999997
09:39:51,27.5,1.1401250459727794,13726545.0,12791930.0,-97329953.0,-7.608699625466993,0.25583859999999997
09:39:54,27.53,1.2504597278411176,32013229.0,32283448.0,-79363875.0,-2.45834568228276,0.6
09:39:57,27.64,1.6550202280250066,37029889.0,39726348.0,-74347215.0,-1.8714837568255709,0.6
09:40:00,27.72,1.9492460463405574,50841925.0,53989718.0,-61382571.0,-1.1369307578157752,0.6
09:40:03,27.65,1.6917984553144436,39817870.0,41434303.0,-72406626.0,-1.7475043806094674,0.6
09:40:06,27.51,1.1769032732622298,38607925.0,38394448.0,-75446481.0,-1.965036220861933,0.6
