code,date,main_inflow,price_strength,score,is_attack,data_quality,expected
300017.SZ,20260126,12212607952.408072,0.12690734178455362,1.0,True,ok,应该触发（巨量资金+大涨）
300017.SZ,20260127,1166001.1103303148,-0.032232299516446156,0.0,False,ok,应该触发（资金持续）
300017.SZ,20260205,4557788.884290772,0.04763590898394788,0.0,False,ok,应该触发（延续强势）
