time,open,high,low,close,volume,amount,time_str
1762911000000,189.36,189.36,189.36,189.36,191,3616776.0000000005,2025-11-12 09:30:00
1762911060000,189.26999999999998,190.29999999999998,187.38,187.84,942,17801874.0,2025-11-12 09:31:00
1762911120000,187.49,188.46,187.49,187.79000000000002,622,11684237.0,2025-11-12 09:32:00
1762911180000,187.72,188.82,187.72,187.8,412,7753783.0,2025-11-12 09:33:00
1762911240000,188.14,188.23999999999998,187.82,187.84,194,3647320.0,2025-11-12 09:34:00
1762911300000,187.81,187.81,186.28,187.3,609,11386624.0,2025-11-12 09:35:00
1762911360000,187.1,187.70000000000002,186.9,186.9,426,7969707.999999999,2025-11-12 09:36:00
1762911420000,186.9,186.9,186.77,186.85000000000002,272,5082514.0,2025-11-12 09:37:00
1762911480000,186.94,187.70000000000002,186.49,187.67000000000002,412,7696783.0,2025-11-12 09:38:00
1762911540000,187.61999999999998,187.7,187.23,187.7,290,5437000.0,2025-11-12 09:39:00
1762911600000,187.67000000000002,187.70000000000002,187.02,187.3,327,6128384.0,2025-11-12 09:40:00
1762911660000,187.38,188.76999999999998,187.29,188.76999999999998,275,5166593.0,2025-11-12 09:41:00
1762911720000,188.77,188.77,188.3,188.72,152,2866796.0,2025-11-12 09:42:00
1762911780000,189.0,189.63,189.0,189.55,200,3788058.0,2025-11-12 09:43:00
1762911840000,189.55,189.58,189.09,189.09,261,4945813.999999999,2025-11-12 09:44:00
1762911900000,189.10999999999999,189.17999999999998,188.73,188.88,191,3610077.0000000005,2025-11-12 09:45:00
1762911960000,188.93,189.99,188.93,189.99,130,2463187.0,2025-11-12 09:46:00
1762912020000,189.99,189.99,189.58,189.58,145,2752416.0,2025-11-12 09:47:00
1762912080000,189.57,189.57999999999998,188.63,189.13,91,1719197.0,2025-11-12 09:48:00
1762912140000,189.13,189.13,188.69,188.91,67,1265929.0,2025-11-12 09:49:00
1762912200000,188.8,188.92000000000002,188.8,188.88000000000002,46,868675.0,2025-11-12 09:50:00
1762912260000,188.9,189.59,188.81,189.13,136,2571904.0,2025-11-12 09:51:00
1762912320000,189.10999999999999,189.26,188.6,188.6,107,2021044.0,2025-11-12 09:52:00
1762912380000,188.5,188.78,188.3,188.44,167,3149801.0,2025-11-12 09:53:00
1762912440000,188.0,188.1,188.0,188.02,157,2952835.0000000005,2025-11-12 09:54:00
1762912500000,188.1,188.92,188.1,188.92,53,1000288.0000000001,2025-11-12 09:55:00
1762912560000,188.93,189.1,188.84,189.03,88,1662865.0,2025-11-12 09:56:00
1762912620000,189.01,189.04,188.81,189.0,135,2550229.0000000005,2025-11-12 09:57:00
1762912680000,189.01,189.01,188.35,188.51,118,2226780.0,2025-11-12 09:58:00
1762912740000,188.51,188.73,188.41,188.73,74,1395430.0,2025-11-12 09:59:00
1762912800000,188.78,188.78,188.66,188.66,52,981535.0000000001,2025-11-12 10:00:00
1762912860000,188.28,189.0,188.28,189.0,148,2790262.0,2025-11-12 10:01:00
1762912920000,188.99,189.4,188.99,189.31,117,2214564.0,2025-11-12 10:02:00
1762912980000,189.31,189.37,188.99,189.29000000000002,45,851291.0,2025-11-12 10:03:00
1762913040000,189.36,189.89000000000001,189.36,189.74,68,1288648.0,2025-11-12 10:04:00
1762913100000,189.74,189.74,189.22,189.22,169,3204099.0,2025-11-12 10:05:00
1762913160000,189.2,189.2,188.41,188.41,117,2209393.0,2025-11-12 10:06:00
1762913220000,188.41,188.98,188.41,188.7,48,906208.0,2025-11-12 10:07:00
1762913280000,188.70000000000002,189.00000000000003,188.70000000000002,189.00000000000003,39,736418.0,2025-11-12 10:08:00
1762913340000,189.05,189.5,188.9,189.5,88,1664962.0,2025-11-12 10:09:00
1762913400000,189.5,189.9,189.5,189.9,142,2692995.0,2025-11-12 10:10:00
1762913460000,189.99,190.4,189.88,190.35999999999999,255,4847844.000000001,2025-11-12 10:11:00
1762913520000,190.32,190.98999999999998,190.32,190.66,137,2611119.0,2025-11-12 10:12:00
1762913580000,190.57,190.6,190.01,190.01,96,1828179.0,2025-11-12 10:13:00
1762913640000,190.0,190.32,190.0,190.0,207,3933456.0,2025-11-12 10:14:00
1762913700000,189.98,190.23999999999998,189.98,190.23,132,2508597.0,2025-11-12 10:15:00
1762913760000,190.24,190.24,190.11,190.15,66,1255331.0,2025-11-12 10:16:00
1762913820000,190.15,190.21,189.68,189.68,70,1329671.0000000002,2025-11-12 10:17:00
1762913880000,189.67000000000002,189.70000000000002,189.3,189.62,233,4411807.0,2025-11-12 10:18:00
1762913940000,189.66000000000003,189.78,189.61,189.61,92,1744765.0,2025-11-12 10:19:00
1762914000000,189.61,189.78,189.61,189.78,33,625998.0,2025-11-12 10:20:00
1762914060000,189.85,189.85,189.22,189.22,194,3675701.0,2025-11-12 10:21:00
1762914120000,189.0,189.07,189.0,189.03,51,964007.0,2025-11-12 10:22:00
1762914180000,189.01000000000002,189.01000000000002,188.89000000000001,188.89000000000001,116,2192215.0,2025-11-12 10:23:00
1762914240000,188.9,188.96,188.8,188.9,42,793256.0,2025-11-12 10:24:00
1762914300000,188.9,189.02,188.9,189.02,38,718066.0,2025-11-12 10:25:00
1762914360000,189.02,189.20000000000002,188.93,188.93,158,2986700.0000000005,2025-11-12 10:26:00
1762914420000,188.9,188.9,188.22,188.22,169,3187018.0,2025-11-12 10:27:00
1762914480000,188.22,188.22,188.03,188.03,42,790203.0,2025-11-12 10:28:00
1762914540000,188.03,188.08,188.02,188.03,63,1184608.0,2025-11-12 10:29:00
1762914600000,188.03,188.18,188.03,188.1,46,865153.0000000001,2025-11-12 10:30:00
1762914660000,188.12,188.18,187.82,187.82,259,4871003.0,2025-11-12 10:31:00
1762914720000,187.81000000000003,187.81000000000003,187.20000000000002,187.20000000000002,272,5101278.0,2025-11-12 10:32:00
1762914780000,187.17999999999998,187.17999999999998,187.01,187.03,119,2225670.0,2025-11-12 10:33:00
1762914840000,187.01,187.02,186.66,186.85999999999999,240,4487224.0,2025-11-12 10:34:00
1762914900000,186.74,186.8,186.64000000000001,186.64000000000001,140,2613430.0000000005,2025-11-12 10:35:00
1762914960000,186.64999999999998,187.01999999999998,186.51,186.89999999999998,129,2407021.0000000005,2025-11-12 10:36:00
1762915020000,186.9,186.9,186.78,186.78,94,1757211.0,2025-11-12 10:37:00
