code,name,price,change_pct,sector,limit_up_days,first_time,last_time,open_count,date,source
000533,顺钠股份,9.22,10.023866653442383,电网设备,1,092500,092500,0,20260202,akshare_em
301362,民爆光电,53.98,20.008893966674805,照明设备,1,092500,092500,0,20260202,akshare_em
603103,横店影视,28.05,10.0,影视院线,3,092503,092503,0,20260202,akshare_em
603618,杭电股份,9.94,9.955751419067383,电网设备,2,092504,092504,0,20260202,akshare_em
603172,万丰股份,28.3,9.988340377807617,化学制品,3,092505,092505,0,20260202,akshare_em
002112,三变科技,21.63,10.020346641540527,电网设备,1,093000,093000,0,20260202,akshare_em
002780,三夫户外,16.41,9.986595153808594,服装家纺,1,093000,144248,6,20260202,akshare_em
603861,白云电器,18.28,9.98796558380127,电网设备,2,093001,093001,0,20260202,akshare_em
002491,通鼎互联,8.64,10.06369400024414,通信设备,2,093006,145142,4,20260202,akshare_em
001368,通达创智,33.0,10.0,文娱用品,1,093224,093224,0,20260202,akshare_em
600785,新华百货,23.32,10.0,一般零售,1,093228,093310,1,20260202,akshare_em
002339,积成电子,11.99,10.0,电网设备,1,093336,093336,0,20260202,akshare_em
002678,珠江钢琴,5.79,10.076045989990234,文娱用品,1,093342,093342,0,20260202,akshare_em
603117,万林物流,5.34,10.103093147277832,物流,1,093601,093601,0,20260202,akshare_em
001326,联域股份,55.95,10.007864952087402,照明设备,1,093748,093748,0,20260202,akshare_em
002291,遥望科技,8.14,10.0,广告营销,1,093909,145336,12,20260202,akshare_em
600232,金鹰股份,9.32,10.035419464111328,专用设备,1,094140,094140,0,20260202,akshare_em
600550,保变电气,15.57,10.035335540771484,电网设备,1,094143,094143,0,20260202,akshare_em
002498,汉缆股份,5.64,9.941520690917969,电网设备,1,094515,094515,0,20260202,akshare_em
002358,森源电气,7.54,10.072992324829102,电网设备,1,094524,094524,0,20260202,akshare_em
000995,皇台酒业,17.52,9.98116683959961,白酒Ⅱ,3,094830,130821,6,20260202,akshare_em
605151,西上海,25.19,10.0,汽车零部,2,095248,095533,3,20260202,akshare_em
601616,广电电气,5.39,10.0,电网设备,1,095734,095734,0,20260202,akshare_em
600172,黄河旋风,7.21,10.076335906982422,通用设备,1,095933,103551,2,20260202,akshare_em
002606,大连电瓷,11.8,9.972041130065918,电网设备,1,100054,100054,0,20260202,akshare_em
300215,电科院,9.68,19.9504337310791,专业服务,1,100057,100057,0,20260202,akshare_em
002830,名雕股份,25.58,10.021505355834961,装修装饰,2,100121,100427,3,20260202,akshare_em
002575,群兴玩具,7.92,10.0,文娱用品,1,100615,100615,0,20260202,akshare_em
002471,中超控股,8.61,9.961685180664062,电网设备,1,105112,131048,4,20260202,akshare_em
605255,天普股份,133.91,9.99671459197998,汽车零部,1,105438,105438,0,20260202,akshare_em
603629,利通电子,41.14,10.0,消费电子,2,111357,144354,2,20260202,akshare_em
688335,复洁科技,42.54,20.0,环境治理,1,111834,111834,0,20260202,akshare_em
300265,通光线缆,15.66,20.0,电网设备,1,140536,140536,0,20260202,akshare_em
603697,有友食品,13.54,9.991876602172852,休闲食品,1,141228,141228,0,20260202,akshare_em
603919,金徽酒,23.98,10.0,白酒Ⅱ,1,141508,145526,3,20260202,akshare_em
600828,茂业商业,7.24,10.030394554138184,一般零售,2,145550,145550,0,20260202,akshare_em
