time,price,true_change_pct,flow_1min,flow_5min,flow_15min,flow_sustainability,confidence,flow_5min_ratio_stock,flow_5min_ratio_stock_p75,flow_5min_ratio_day,sustain_ratio,price_change,flow_efficiency
10:19:39,19.32,1.6307206733298194,10972340.000000002,62172978.0,8242667.000000002,0.1325763581728384,0.6,5.3179823188337405,2.582071019125805,4.875013143556967,0.1325763581728384,0.030000000000001137,0.0004825247392846638
10:19:42,19.32,1.6307206733298194,10972340.000000002,64694091.0,8242667.000000002,0.1274098897223859,0.6,5.533626394267635,2.6867739467102183,5.072694827895658,0.12740988972238596,0.0,0.0
10:19:45,19.33,1.683324566017868,12333172.000000002,68593667.0,9603499.000000002,0.1400056218017911,0.6,5.867177671463146,2.8487250466957863,5.378462459845013,0.14000562180179116,0.00999999999999801,0.00014578605339758276
10:19:48,19.35,1.7885323513940024,13571572.000000002,51328211.0,14164780.000000002,0.2759648100729636,0.6,4.39037227001363,2.1316830936854005,4.024669740932553,0.27596481007296364,0.020000000000003126,0.00038964927104128224
10:19:51,19.35,1.7885323513940024,13571572.000000002,51328211.0,13257544.000000002,0.2582896177698459,0.6,4.39037227001363,2.1316830936854005,4.024669740932553,0.25828961776984594,0.0,0.0
10:19:54,19.35,1.7885323513940024,13571572.000000002,51328211.0,15639229.000000002,0.3046907089748365,0.6,4.39037227001363,2.1316830936854005,4.024669740932553,0.3046907089748365,0.0,0.0
10:19:57,19.38,1.9463440294581664,17757652.0,55514291.0,19825309.0,0.3571208177728506,0.6,4.748429743555006,2.3055328303305096,4.352902289484128,0.3571208177728506,0.029999999999997584,0.0005404013896169111
10:20:00,19.32,1.6307206733298194,14815400.0,52888976.0,14178073.0,0.2680723672925715,0.6,4.5238727221530555,2.1965023480271486,4.147050076148339,0.2680723672925715,-0.05999999999999872,-0.0011344519130035476
10:20:03,19.34,1.7359284587059352,12028106.0,52661188.0,21339819.0,0.4052285907412495,0.6,4.504388814587256,2.187042212575624,4.129189109380034,0.4052285907412495,0.019999999999999574,0.0003797863428375291
10:20:06,19.36,1.841136244082051,16052114.0,57529786.0,25389627.0,0.4413301137605483,0.6,4.920825647989531,2.3892372208246075,4.510938222969143,0.4413301137605483,0.019999999999999574,0.00034764600028235065
10:20:09,19.34,1.7359284587059352,14230286.0,55707958.0,23567799.0,0.4230598256715854,0.6,4.764995102250573,2.3135759057009873,4.368087812211915,0.4230598256715854,-0.019999999999999574,-0.00035901513388804477
10:20:12,19.34,1.7359284587059352,14230286.0,55707958.0,23567799.0,0.4230598256715854,0.6,4.764995102250573,2.3135759057009873,4.368087812211915,0.4230598256715854,0.0,0.0
10:20:15,19.36,1.841136244082051,22311150.0,65508494.0,33990323.0,0.5188689424000497,0.6050317179733465,5.603286572913174,2.720596460153102,5.136552559290673,0.5188689424000497,0.019999999999999574,0.0003053039198244975
10:20:18,19.39,1.9989479221462336,33153969.0,74547928.0,40633522.0,0.5450657461599737,0.6120175323093263,6.376476980235541,3.0960081150476197,5.84533893205081,0.5450657461599737,0.030000000000001137,0.0004024256717101666
10:20:21,19.42,2.156759600210416,36910889.0,77033688.0,45392182.0,0.5892510559795605,0.6238002815945495,6.589097127349358,3.199242817051152,6.04024857063573,0.5892510559795605,0.030000000000001137,0.0003894400070784763
10:20:24,19.5,2.5775907417148787,57716064.0,96385488.0,63369973.0,0.6574638393696777,0.6419903571652473,8.244358521416839,4.002931550570057,7.557632527239606,0.6574638393696777,0.0799999999999983,0.0008300004664602445
10:20:27,19.52,2.682798527090994,71670632.0,110728538.0,78070109.0,0.7050586091907038,0.6546822957841877,9.471195143239076,4.598604701868558,8.682277984446026,0.7050586091907038,0.019999999999999574,0.00018062190977360845
10:20:30,19.53,2.735402419779061,75543431.0,107447729.0,81241571.0,0.7561031932094163,0.6682941848558444,9.190570267051376,4.462351266522625,8.425028170925755,0.7561031932094163,0.010000000000001563,9.306850961923601e-05
10:20:33,19.51,2.6301946344029457,62995103.0,98094635.0,71888477.0,0.7328482031662588,0.6620928541776689,8.390550867652655,4.073913174389425,7.691647566526785,0.7328482031662588,-0.019999999999999574,-0.00020388474864093816
10:20:36,19.49,2.5249868490268117,56208685.0,91308217.0,66742749.0,0.7309610371649246,0.6615896099106465,7.810072787091433,3.7920702611953083,7.159521263236767,0.7309610371649246,-0.020000000000003126,-0.00021903833693306187
10:20:39,19.46,2.367175170962647,49921190.0,83894419.0,60831487.0,0.7250957539857329,0.6600255343961954,7.175931590261438,3.484171981697536,6.578201792040192,0.7250957539857329,-0.029999999999997584,-0.00035759232089082807
10:20:42,19.45,2.31457127827458,31980093.0,73009156.0,53948261.0,0.7389245946083803,0.6637132252289014,6.244857705239313,3.032102239632705,5.724683078555462,0.7389245946083803,-0.010000000000001563,-0.0001369691220646567
10:20:45,19.45,2.31457127827458,31980093.0,73009156.0,53075391.0,0.7269689708507245,0.6605250588935265,6.244857705239313,3.032102239632705,5.724683078555462,0.7269689708507245,0.0,0.0
10:20:48,19.45,2.31457127827458,30619261.0,75475256.0,51865095.0,0.6871801137050797,0.6499146969880212,6.4557962289895485,3.134520453221672,5.918051167073369,0.6871801137050797,0.0,0.0
10:20:51,19.47,2.419779063650696,32786164.0,79972655.0,53081926.0,0.6637509533727497,0.6436669208993999,6.840482456545522,3.3212994043496904,6.270694388326499,0.6637509533727497,0.019999999999999574,0.00025008548234392835
10:20:54,19.47,2.419779063650696,32786164.0,79972655.0,53869670.0,0.6736011202829267,0.6462936320754471,6.840482456545522,3.3212994043496904,6.270694388326499,0.6736011202829267,0.0,0.0
10:20:57,19.49,2.5249868490268117,35191230.0,82377721.0,54305230.0,0.6592222914251293,0.6424592777133677,7.046200420765094,3.421182849174946,6.459276771514287,0.6592222914251293,0.019999999999999574,0.00024278408964481518
10:21:00,19.48,2.472382956338763,28133798.0,83006434.0,51929345.0,0.6256062632446059,0.6334950035318949,7.099977555545752,3.4472935755526923,6.508574460592735,0.6256062632446059,-0.00999999999999801,-0.00012047258890796358
10:21:03,19.47,2.419779063650696,24889085.0,74114485.0,39044452.0,0.5268127006481931,0.6071500535061848,6.3394023171846205,3.0780070373327493,5.811352457702053,0.5268127006481931,-0.010000000000001563,-0.00013492639124459358
10:21:06,19.45,2.31457127827458,16741704.0,74473012.0,36502292.0,0.4901412071261465,0.6,6.370069020118241,3.0928968207411316,5.8394647324159985,0.49014120712614656,-0.019999999999999574,-0.0002685536607543089
10:21:09,19.44,2.2619673855865314,13501248.0,71801620.0,35660540.0,0.4966536966714678,0.6,6.141570790185072,2.981952740437876,5.629999599322439,0.49665369667146786,-0.00999999999999801,-0.00013927262365386755
10:21:12,19.41,2.104155707522349,13983786.0,73249875.0,26505886.0,0.3618557164773319,0.6,6.2654476693521355,3.0420994051802994,5.74355797126052,0.3618557164773319,-0.030000000000001137,-0.000409557012895942
10:21:15,19.42,2.156759600210416,16112218.0,75378307.0,28634318.0,0.3798747828072074,0.6,6.447503670318342,3.1304941187708235,5.910449349298857,0.3798747828072074,0.010000000000001563,0.00013266416291362929
10:21:18,19.39,1.9989479221462336,6381265.0,75402514.0,26984229.0,0.35786908908634,0.6,6.449574222544295,3.1314994460877807,5.9123474318254186,0.35786908908634,-0.030000000000001137,-0.0003978647184098018
10:21:21,19.41,2.104155707522349,-262259.99999999953,76788388.0,27175812.0,0.3539052284832441,0.6,6.568115326175062,3.1890554005662675,6.021014479514752,0.3539052284832441,0.019999999999999574,0.0002604560470783626
10:21:24,19.41,2.104155707522349,-2748019.9999999995,69676535.0,27175812.0,0.390028178065973,0.6,5.959801075759959,2.8936970292239312,5.463370661165805,0.390028178065973,0.0,0.0
10:21:27,19.4,2.0515518148342817,-23626600.0,68149755.0,25649032.0,0.3763627910327777,0.6,5.829207539694355,2.830289186823638,5.3436551061650475,0.37636279103277775,-0.010000000000001563,-0.00014673567058313803
10:21:30,19.4,2.0515518148342817,-36623016.0,67153305.0,28889212.0,0.4301979180324781,0.6,5.743975922164279,2.7889061817018965,5.265522981837702,0.4301979180324781,0.0,0.0
10:21:33,19.4,2.0515518148342817,-40495815.0,66355725.0,31718104.0,0.4780010164910412,0.6,5.675754703327771,2.755782334820469,5.20298434997358,0.47800101649104126,0.0,0.0
10:21:36,19.39,1.9989479221462336,-32350718.0,59982711.0,30510107.0,0.5086483503554883,0.6023062267614635,5.130637244587417,2.491108270890589,4.703273253392802,0.5086483503554883,-0.00999999999999801,-0.00016671470550902592
10:21:39,19.38,1.9463440294581664,-27153460.0,56200545.0,28920947.0,0.5146026075014041,0.6038940286670411,4.8071286631761465,2.3340332596514144,4.406711796080684,0.5146026075014041,-0.010000000000001563,-0.0001779342175418684
10:21:42,19.37,1.8937401367701177,-24017061.0,55481918.0,28202320.0,0.5083155200222169,0.6022174720059245,4.745660710332766,2.304188365455397,4.350363906965336,0.5083155200222169,-0.00999999999999801,-0.00018023890233928125
10:21:45,19.37,1.8937401367701177,-14974756.0,54640792.0,29973758.0,0.5485600940776993,0.6129493584207198,4.6737147727276644,2.269256034113102,4.284410812272212,0.5485600940776993,0.0,0.0
10:21:48,19.35,1.7885323513940024,-15599761.0,53503611.0,29348753.0,0.5485377986917556,0.6129434129844681,4.5764456914346034,2.222028408896235,4.195243902467711,0.5485377986917556,-0.019999999999999574,-0.0003738065455058645
10:21:51,19.35,1.7885323513940024,-15599761.0,55357133.0,29348753.0,0.5301711163401471,0.6080456310240392,4.734987191949013,2.299005989727446,4.3405794550267665,0.5301711163401471,0.0,0.0
10:21:54,19.37,1.8937401367701177,-15497157.0,62452212.0,35472276.0,0.5679907062379151,0.6181308549967773,5.341866673783205,2.593667729499797,4.896908015958415,0.5679907062379151,0.019999999999999574,0.00032024486178327155
10:21:57,19.37,1.8937401367701177,-15497157.0,62452212.0,40316661.0,0.6455601764754145,0.6388160470601105,5.341866673783205,2.593667729499797,4.896908015958415,0.6455601764754145,0.0,0.0
10:22:00,19.37,1.8937401367701177,-17902223.0,63189800.0,41584901.0,0.658095151432668,0.6421587070487115,5.404956460838023,2.6243000823340936,4.954742646214181,0.658095151432668,0.0,0.0
10:22:03,19.38,1.9463440294581664,-12703333.0,67396438.0,43912439.0,0.6515543002435826,0.6404144800649554,5.764772368413404,2.799003601727251,5.284587157445189,0.6515543002435826,0.00999999999999801,0.00014837579398480985
10:22:06,19.4,2.0515518148342817,-2759904.0000000005,70744498.0,44963919.0,0.6355818511850915,0.6361551603160244,6.051149576891248,2.9380500005710437,5.547110154259292,0.6355818511850915,0.019999999999999574,0.0002827074976205157
10:22:09,19.4,2.0515518148342817,902531.0000000003,70744498.0,46130318.0,0.6520693383109454,0.6405518235495854,6.051149576891248,2.9380500005710437,5.547110154259292,0.6520693383109454,0.0,0.0
10:22:12,19.4,2.0515518148342817,1744283.0000000005,70744498.0,45114198.0,0.6377061011868371,0.6367216269831566,6.051149576891248,2.9380500005710437,5.547110154259292,0.6377061011868371,0.0,0.0
10:22:15,19.41,2.104155707522349,7846787.0,75507712.0,50560834.0,0.669611522595202,0.6452297393587205,6.4585723616390105,3.1358683651231534,5.920596057662127,0.669611522595202,0.010000000000001563,0.00013243680327648604
10:22:18,19.42,2.156759600210416,6879671.0,74882069.0,51722150.0,0.6907147557581509,0.6508572682021736,6.405057820130285,3.109885137190611,5.871539088761998,0.6907147557581509,0.010000000000001563,0.00013354331862814263
10:22:21,19.42,2.156759600210416,8529760.0,70247431.0,54217814.0,0.7718120538813725,0.672483214368366,6.008632817966242,2.917406590257582,5.508134891433239,0.7718120538813725,0.0,0.0
10:22:24,19.42,2.156759600210416,7143886.0,67725956.0,54217814.0,0.8005470458032368,0.6801458788808631,5.7929577787654285,2.812688628654549,5.310424822500233,0.8005470458032368,0.0,0.0
10:22:27,19.44,2.2619673855865314,8817670.0,70873790.0,53659550.0,0.7571141602558576,0.6685637760682287,6.062208602726663,2.9434195539838592,5.557248002238149,0.7571141602558576,0.019999999999999574,0.00028219176651904143
10:22:30,19.45,2.31457127827458,11639820.0,71114344.0,54954920.0,0.7727684305152277,0.672738248137394,6.08278445352031,2.9534098670091544,5.5761099572137525,0.7727684305152277,0.00999999999999801,0.00014061860712654553
