code,date,label,max_ratio_stock,max_ratio_day,max_sustain_ratio,mean_sustain_ratio
000547,2026-01-20,true,16.934979695764657,19.00573140200053,12636.86886492465,21.34637095346645
000547,2026-01-23,trap,10.067145081470821,10.127456865401864,843.9911234199687,6.309832382789315
000547,2026-02-05,true,18.057689586695183,9.678987689998658,2829.1127097735216,8.541532995164761
000547,2026-02-12,trap,7.44652281455465,12.47063568583663,8338.456912878903,19.019853460311975
000592,2026-01-20,true,16.62334648026306,21.643841101070723,11148.443193044854,18.097433643494437
000592,2026-01-21,trap,11.006127569485542,8.84762947981432,8742.516129032258,10.097519687822015
002792,2025-12-23,true,15.273172743181211,13.9583925136107,3835.5032345495692,12.2093644028202
002792,2025-12-30,true,12.026378474534289,12.82336853121773,2037.9406276267862,6.744698991332405
002792,2026-01-05,trap,5.111674250246889,5.033787684641677,42669.332167832166,26.67643167344871
002792,2026-01-12,trap,0.0,,,
300017,2026-01-26,true,57.80274829317237,61.17864460825034,9176.991668651846,20.12015813713548
300017,2026-02-13,trap,14.910354778787841,14.490461829443865,18212.344537815126,24.304611583272717
300058,2026-01-21,true,34.42670602657549,38.2204916500176,3530.747634643377,12.82498281956146
300058,2026-02-06,true,14.806232424640873,13.572925472327098,1824.859425854818,9.189748521844354
301005,2025-12-22,trap,11.817866620638531,17.796418797677333,15250.661453541858,10.903549906178029
301005,2025-12-23,true,12.106739837573032,12.34133570819866,985.3436599423632,8.535834106797253
301005,2025-12-24,true,36.21260109089643,5.480504659155732,1484.7461077265255,10.549212227087352
603516,2026-01-06,true,10.952543960501206,11.615266329394085,285233.7272749913,194.42132519670255
603516,2026-01-19,trap,10.076823054970323,10.678946041936287,25974.28629690049,22.709964274263495
603516,2026-01-20,trap,27.25290434031527,19.860051743611713,3084.828449502099,10.653833548286654
603516,2026-01-20,true,27.25290434031527,19.860051743611713,3084.828449502099,10.653833548286654
603778,2025-12-23,true,6.352766926780153,9.633751797079773,4148.858402351152,9.82334329887563
603778,2026-01-14,trap,14.038283201969405,8.882790339605132,2475.9894278607862,11.682142227116362
603778,2026-01-22,trap,39.15623573840678,9.026282088876098,883.4008363202116,8.456595685932438
