time,price,true_change_pct,flow_1min,flow_5min,flow_15min,flow_5min_ratio_stock,flow_5min_ratio_stock_p75,flow_5min_ratio_day,sustain_ratio,price_change,flow_efficiency
09:30:00,215.0,437.5,0.0,0.0,0.0,0.0,0.0,0.0,,,
09:30:03,214.86,437.15,-107430.0,-107430.0,-107430.0,0.03134866674059073,0.011247708291214192,0.022844763104399802,1.0,-0.13999999999998636,-1.3031741599179592
09:30:06,215.56,438.9,797922.0,797922.0,797922.0,0.23283804210170006,0.08354085353385657,0.16967643177686773,1.0,0.6999999999999886,0.8772787315050702
09:30:09,215.0,437.5,625922.0,625922.0,625922.0,0.18264749309879952,0.06553279408967114,0.13310099424585434,1.0,-0.5600000000000023,-0.8946801678164409
09:30:12,214.98,437.44999999999993,-212499.99999999988,-212499.99999999988,-212499.99999999988,0.06200867245997884,0.022248329255170944,0.045187677182211256,1.0,-0.020000000000010232,-0.09411764705887173
09:30:15,215.23,438.075,282529.0000000001,282529.0000000001,282529.0000000001,0.0824435210420959,0.02958022689945505,0.0600791964546493,1.0,0.25,0.8848649165218433
09:30:18,215.34,438.35,1423831.0,1423831.0,1423831.0,0.4154817417287726,0.14907228654926738,0.30277466160011796,1.0,0.11000000000001364,0.07725635977866309
09:30:21,215.04,437.6,4567.0,4567.0,4567.0,0.001332675798233993,0.000478155857451133,0.0009711629256054537,1.0,-0.30000000000001137,-65.68863586599767
09:30:24,215.56,438.9,996143.0,996143.0,996143.0,0.2906800235778858,0.10429419976110006,0.21182770970032702,1.0,0.5200000000000102,0.5220134057058176
09:30:27,215.11,437.7750000000001,-316028.0,-316028.0,-316028.0,0.09221871407144566,0.0330875058722502,0.06720268820959938,1.0,-0.44999999999998863,-1.4239244623893728
09:30:30,217.15,442.875,1399457.0000000002,1399457.0000000002,1399457.0000000002,0.40836927404623374,0.1465203770091943,0.29759158186534523,1.0,2.039999999999992,1.457708239695819
09:30:33,215.65,439.12500000000006,-2331288.0,-2331288.0,-2331288.0,0.680282701185314,0.24408123770648937,0.49574348029535514,1.0,-1.5,-0.6434211474515376
09:30:36,215.55,438.875,-6750063.0,-6750063.0,-6750063.0,1.9697056265939876,0.7067182311395155,1.4353866720168877,1.0,-0.09999999999999432,-0.014814676544499557
09:30:39,215.79,439.475,-5433744.0,-5433744.0,-5433744.0,1.5855964796582374,0.5689022381191042,1.1554742106483644,1.0,0.23999999999998067,0.044168440765700534
09:30:42,215.68,439.2000000000001,-10674768.0,-10674768.0,-10674768.0,3.1149561999918296,1.117627073819119,2.2699669194305843,1.0,-0.10999999999998522,-0.010304673600399111
09:30:45,217.16,442.9,-7547664.0,-7547664.0,-7547664.0,2.2024499991245836,0.7902254766089442,1.6049948438202237,1.0,1.4799999999999898,0.1960871602127479
09:30:48,216.0,440.00000000000006,-12191664.0,-12191664.0,-12191664.0,3.557594822202898,1.276443081601951,2.5925316571575845,1.0,-1.1599999999999966,-0.0951469791162221
09:30:51,217.15,442.875,-6306899.0,-6306899.0,-6306899.0,1.8403879262549097,0.6603198377934515,1.341148781330876,1.0,1.1500000000000057,0.1823400057619451
09:30:54,219.0,447.5,-3810299.0,-3810299.0,-3810299.0,1.111866271367459,0.39893076100069946,0.8102520526103645,1.0,1.8499999999999943,0.48552620148707337
09:30:57,218.0,445.0,-8322899.0,-8322899.0,-8322899.0,2.4286678494516973,0.8713910461625087,1.7698469328571722,1.0,-1.0,-0.12015044277240419
09:31:00,219.66,449.15,-4566713.0,-4566713.0,-4566713.0,1.3325920500504824,0.478125809119386,0.9711018956602712,1.0,1.6599999999999966,0.36349996156973224
09:31:03,218.99,447.475,-11486797.0,-11486797.0,-11486797.0,3.35191074252832,1.2026449023214587,2.442643175028673,1.0,-0.6699999999999875,-0.05832783499177251
09:31:06,219.66,449.15,-7205827.0,-7313257.0,-7313257.0,2.1340487431936364,0.7656835278291002,1.5551486892543385,1.0,0.6699999999999875,0.09161444757103264
09:31:10,219.97,449.925,-2285950.0,-1660028.0,-1660028.0,0.4844053295359709,0.17380164478495497,0.35300145589379683,1.0,0.3100000000000023,0.186743838055745
09:31:12,220.0,450.0,750050.0,1375972.0,1375972.0,0.4015162214687155,0.1440615440089228,0.2925975461071135,1.0,0.030000000000001137,0.021802769242398202
09:31:15,220.15,450.375,3481762.0,3269262.0,3269262.0,0.9539886896181433,0.34228525834079393,0.6952016747297431,1.0,0.15000000000000568,0.04588191463394665
09:31:18,221.99,454.975,5140036.0,5422565.0,5422565.0,1.5823343857785663,0.5677318189532522,1.1530970198567412,1.0,1.8400000000000034,0.339322811252609
09:31:21,222.06,455.15,5841832.000000001,7265663.0,7265663.0,2.120160551395706,0.760700530264062,1.545027925452879,1.0,0.06999999999999318,0.00963435821342019
09:31:24,223.0,457.5,9825596.0,9830163.0,9830163.0,2.8684958009186037,1.0291986026164663,2.090363446082436,1.0,0.9399999999999977,0.09562405018105984
09:31:27,223.87,459.675,11139881.0,12136024.0,12136024.0,3.5413587632114947,1.270617683767797,2.580699928412087,1.0,0.8700000000000045,0.07168739943164289
09:31:30,224.31,460.775,14695152.0,14379124.0,14379124.0,4.195907719423158,1.5054658124843803,3.057690416352878,1.0,0.4399999999999977,0.03059991693513442
09:31:33,224.31,460.775,12979667.0,14379124.0,14379124.0,4.195907719423158,1.5054658124843803,3.057690416352878,1.0,0.0,0.0
09:31:36,224.0,460.0,11312012.0,8980724.0,8980724.0,2.6206248139739827,0.9402640211850162,1.9097320328213516,1.0,-0.3100000000000023,-0.03451837513323004
