stock,date,success,macro_mfe,macro_purity,vacuum_ratio,change_pct,amplitude,amount_yi,is_sealed,pre_volume_ratio
605033.SH,20250107,True,5.492265337023142,100.0,2.9736348722097,9.993753903810104,13.2417239225484,2.41097673,True,3.1025020791772437
002917.SZ,20250113,True,1.3502969647049898,100.0,6.744938306077018,10.0337268128162,13.153456998313665,9.74115868,True,1.037703374072974
002730.SZ,20250120,True,0.9955228156724584,100.0,0.40858778599182644,9.99468367889422,4.412546517809686,4.43239115,True,1.2374832893361276
300766.SZ,20250127,True,0.0,100.0,0.36536816615297585,20.019920318725116,0.0,4.87145398,True,1.2173364245037381
002881.SZ,20250205,True,0.0,100.0,0.0438632418448,9.990059642147108,0.0,0.27826262,True,1.0646918577695874
605398.SH,20250205,True,0.7988804590566121,100.0,3.321020725587918,9.992836676217761,4.297994269340971,5.38002178,True,1.457752055140701
600120.SH,20250207,True,0.05992300731491428,100.0,13.09345153852763,10.064935064935067,2.9220779220779316,48.76387306,True,1.7680351867908466
600126.SH,20250207,True,0.0,100.0,0.2336578097999259,10.015898251192368,0.0,0.95059611,True,0.9999178880627411
688316.SH,20250207,True,0.0,100.0,2.215555840975717,19.995923359152048,0.0,1.20538562,True,1.309075758627873
002123.SZ,20250210,True,0.2819918975300534,100.0,2.6118702646011105,10.007047216349543,8.24524312896406,29.23929092,True,3.183358802169222
603918.SH,20250212,True,0.6081470682822732,37.967914438502696,1.753084100755299,1.0538641686182861,10.948477751756446,18.00301,False,4.106027512322155
600602.SH,20250213,True,0.2334726945550135,49.43820224719092,0.7807865155593254,-1.2450481041313095,5.036785512167498,21.57333868,False,2.7401805364073115
601177.SH,20250213,True,0.0,100.0,0.880473422794193,10.000000000000014,0.0,0.56035496,True,1.4678208261522934
603956.SH,20250213,True,1.4392107863136414,100.0,2.401222310054568,10.000000000000002,2.57142857142858,1.78669351,True,3.0778126492905
002527.SZ,20250218,True,0.0,100.0,3.78523185007232,10.026857654431506,0.0,0.32310409,True,0.02449256798411948
002896.SZ,20250220,True,0.6808828945640436,100.0,1.2868020621148526,9.995039682539685,12.016369047619046,17.64821696,True,0.9067390892087562
002910.SZ,20250224,True,0.0,100.0,0.8245142449242538,10.033444816053496,0.0,0.69833556,True,1.403619421278237
600126.SH,20250224,True,0.1613010521390489,0.6849315068494217,1.2731565730426342,-9.942950285248566,11.898940505297482,73.76852381,False,5.34175858800869
605100.SH,20250225,True,4.405150315974084,100.0,3.4374969111641223,10.000000000000002,15.028901734104053,3.41166604,True,1.7026450068390215
603700.SH,20250228,True,4.744768303136654,7.258064516129019,3.938044175666247,-4.80427046263346,11.032028469750891,2.32509319,False,3.1872958216252028
605066.SH,20250228,True,0.9804600192801584,100.0,1.7294600859817482,9.959072305593457,2.455661664392914,2.50460153,True,1.5195770385907703
