stock,date,label,is_limit_up,limit_up_amount_yi,limit_up_ratio,seal_acceleration,seal_duration_min,momentum_rate,morning_afternoon_ratio,volume_acceleration,is_depleted,depletion_signal
300986.SZ,20260105,连板真龙,True,0.59380677,0.053665376639708,36188.96551724138,4.55,0.0,2.703781320852678,-59.47280334728033,True,动量维持率0.00<0.3
300986.SZ,20260106,连板真龙,True,2.19962286,0.21229558689884737,1028453.1206896552,124.45,17.448660849723893,28.214063905825963,-213.39330543933053,True,早盘/午后比28.2>3.0
300986.SZ,20260107,连板真龙,True,9.23306645,0.6152333942482197,548125.551724138,160.7,6.822724278288324,47.83138795794495,-108.5020920502092,True,早盘/午后比47.8>3.0
300986.SZ,20260108,连板真龙,True,11.04523778,1.5786321484213057,597115.7413793104,172.35,0.7577887528362801,53.449470234097156,-332.2426778242678,True,早盘/午后比53.4>3.0
300986.SZ,20260109,连板真龙,True,10.09205201,1.7948731200379382,1988567.3620689656,198.25,0.5090619524897182,13.231642456399207,-36.52719665271967,True,早盘/午后比13.2>3.0
300986.SZ,20260110,连板真龙,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
000533.SZ,20260311,断板杂毛,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
