date,time,rank,code,score,price,mfe,sustain,inflow_pct,mass_potential,velocity,kinetic_energy,friction,purity,ratio_stock,change_pct
20260313,09:30:00,1,000420.SZ,280.5,5.24,0.48867272208970797,215.77867116746935,2.038206536259542,0.020382065362595417,84.16991547152529,1.7155567187047596,0.28056585887484914,0.4285714285714304,7.0,4.382470119521926
20260313,09:30:00,2,300981.SZ,9.4,13.58,28.783962647674855,10.486803014873207,0.03172745949926362,0.00031727459499263625,37.54671393208362,0.011912618456106203,0.2642248609081333,0.4117647058823548,6.999997096081692,3.3485540334855366
20260313,09:31:00,1,300981.SZ,497.12,14.74,85.96137683144764,42.05553190025674,0.1155345251017639,0.001155345251017639,1805.4017217530857,2.0858623054064966,0.794423440453686,0.8913043478260868,7.0,12.176560121765597
20260313,09:31:00,2,000420.SZ,0.0,5.08,0.0,0.0,5.590274350393701,0.0,0.0,0.0,0.0,0.0,7.0,0.0
20260313,09:32:00,1,300981.SZ,2048.16,15.18,54.55541225401874,47.8337614348579,0.25388566534914364,0.0025388566534914362,3742.0053717541955,9.500415235478835,0.7186219691308712,0.8477157360406088,7.0,15.525114155251135
20260313,09:32:00,2,000420.SZ,0.0,5.11,0.0,0.0,7.1067509099804305,0.0,0.0,0.0,0.0,0.0,7.0,0.0
20260313,09:33:00,1,300981.SZ,2249.34,15.12,41.51952710219577,41.01940481197046,0.3280992724867725,0.0032809927248677252,3421.4443070611223,11.225733880007638,0.6679120822489619,0.8172588832487304,7.0,15.068493150684919
20260313,09:33:00,2,000420.SZ,0.0,5.11,0.0,0.0,8.2347957925636,0.0,0.0,0.0,0.0,0.0,7.0,0.0
20260313,09:34:00,1,300981.SZ,5531.4,15.38,34.84843189529889,40.32023339768447,0.42148168075422626,0.004214816807542263,4954.022324490475,20.88029655820204,0.8830332567359418,0.939698492462312,7.0,17.047184170471844
20260313,09:34:00,2,000420.SZ,0.0,5.12,0.0,0.0,9.067940605468749,0.0,0.0,0.0,0.0,0.0,7.0,0.0
20260313,09:35:00,1,300981.SZ,5385.26,15.32,30.43035910630128,36.198575972080086,0.4751723466057441,0.004751723466057441,4566.499192031597,21.698741368508884,0.8272770889624003,0.9095477386934675,7.0,16.59056316590563
20260313,09:35:00,2,000420.SZ,0.0,5.05,0.0,0.0,9.88691110891089,0.0,0.0,0.0,0.0,0.0,7.0,0.0
20260313,09:36:00,1,300981.SZ,5364.14,15.28,27.345090459306192,33.1137538510334,0.5232185340314136,0.005232185340314136,4319.71629183899,22.601556256476105,0.7911163859498493,0.8894472361809043,7.0,16.28614916286148
20260313,09:36:00,2,000420.SZ,0.0,5.07,0.0,0.0,10.398961518737673,0.0,0.0,0.0,0.0,0.0,7.0,0.0
