stock_code,date,time_point,volume_ratio,cumulative_volume,is_limit_up
688098.SH,20260313,09:35,0.0,0,False
600010.SH,20260313,09:35,2.9510039404750565,728538,False
603787.SH,20260313,09:35,0.0,0,False
603211.SH,20260313,09:35,2.8491107660977906,3999,False
600586.SH,20260313,09:35,3.548230517233424,48063,False
688115.SH,20260313,09:35,0.0,0,False
600843.SH,20260313,09:35,6.770412130637637,11609,False
605128.SH,20260313,09:35,2.1949599804271087,785,False
688161.SH,20260313,09:35,2.349790905634804,1777,False
603696.SH,20260313,09:35,3.791728278890532,4231,False
688592.SH,20260313,09:35,0.0,0,False
688189.SH,20260313,09:35,0.0,0,False
600101.SH,20260313,09:35,6.180045195291968,61089,False
601298.SH,20260313,09:35,2.2947516710804363,5932,False
600418.SH,20260313,09:35,2.0093156304988096,13346,False
688017.SH,20260313,09:35,3.2562321209644467,3320,False
603313.SH,20260313,09:35,0.0,0,False
603708.SH,20260313,09:35,0.0,0,False
600935.SH,20260313,09:35,20.70008987540072,500082,False
688063.SH,20260313,09:35,10.155466905260043,44030,False
688478.SH,20260313,09:35,0.0,0,False
603367.SH,20260313,09:35,2.6674183126992044,2563,False
600941.SH,20260313,09:35,2.4269239354182686,6116,False
600207.SH,20260313,09:35,2.2328224956853946,14889,False
603590.SH,20260313,09:35,3.086165379936946,1554,False
603855.SH,20260313,09:35,3.685866684558355,2289,False
600273.SH,20260313,09:35,5.082741317095174,36059,False
600668.SH,20260313,09:35,0.0,0,False
688267.SH,20260313,09:35,3.789577430085007,3076,False
603578.SH,20260313,09:35,0.0,0,False
603163.SH,20260313,09:35,15.429694191143131,12761,False
601000.SH,20260313,09:35,2.905603477552129,26737,False
688608.SH,20260313,09:35,3.3317590219655147,1793,False
688213.SH,20260313,09:35,3.0236472031263375,3975,False
603117.SH,20260313,09:35,3.6242452419230387,15461,False
603061.SH,20260313,09:35,3.239182875813002,1768,False
688365.SH,20260313,09:35,3.5324511481857694,9520,False
603015.SH,20260313,09:35,0.0,0,False
605358.SH,20260313,09:35,3.080560503128793,7329,False
600782.SH,20260313,09:35,2.916980023209136,43926,False
600399.SH,20260313,09:35,3.174024078803357,56260,False
601519.SH,20260313,09:35,3.443542858567351,17267,False
688311.SH,20260313,09:35,2.274985992596743,2064,False
603089.SH,20260313,09:35,0.0,0,False
688796.SH,20260313,09:35,3.8902817425840888,1306,False
600305.SH,20260313,09:35,3.1626272147752874,4124,False
600371.SH,20260313,09:35,3.117706313530473,9788,False
600880.SH,20260313,09:35,3.2806251083678455,14427,False
600531.SH,20260313,09:35,3.7864964078152843,37585,False
600545.SH,20260313,09:35,3.398435403236581,169361,False
603655.SH,20260313,09:35,2.748078733298678,815,False
600868.SH,20260313,09:35,22.759623845308887,857451,False
688551.SH,20260313,09:35,3.892899892899893,3862,False
605177.SH,20260313,09:35,0.0,0,False
688525.SH,20260313,09:35,3.332006886776201,27562,False
688048.SH,20260313,09:35,2.9667246217142074,8617,False
603757.SH,20260313,09:35,6.729681881390092,27464,False
605001.SH,20260313,09:35,0.0,0,False
603338.SH,20260313,09:35,2.1934652189002923,2765,False
600028.SH,20260313,09:35,3.0973070078186598,406205,False
600433.SH,20260313,09:35,5.350865537252657,85070,False
600982.SH,20260313,09:35,5.585259866019718,60634,False
688238.SH,20260313,09:35,3.7316688363752357,10821,False
688623.SH,20260313,09:35,0.0,0,False
603896.SH,20260313,09:35,0.0,0,False
603527.SH,20260313,09:35,10.253247537391966,59435,False
688657.SH,20260313,09:35,0.0,0,False
600643.SH,20260313,09:35,5.031734831804542,12331,False
600258.SH,20260313,09:35,3.6963715512916067,10621,False
605299.SH,20260313,09:35,4.327370801736754,8945,False
601969.SH,20260313,09:35,12.219971733720474,251536,False
600637.SH,20260313,09:35,2.78466614984611,22585,False
600741.SH,20260313,09:35,1.9644712821232975,4663,False
603908.SH,20260313,09:35,0.0,0,False
688721.SH,20260313,09:35,0.0,0,False
688755.SH,20260313,09:35,0.0,0,False
600650.SH,20260313,09:35,0.0,0,False
603819.SH,20260313,09:35,0.0,0,False
600624.SH,20260313,09:35,0.0,0,False
601038.SH,20260313,09:35,12.523075618834424,45547,False
688630.SH,20260313,09:35,5.034727709801116,5044,False
603885.SH,20260313,09:35,1.8026733383275104,13606,False
601992.SH,20260313,09:35,4.189162146922317,79462,False
601890.SH,20260313,09:35,2.1018781602902354,25050,False
688329.SH,20260313,09:35,0.0,0,False
603987.SH,20260313,09:35,0.0,0,False
603059.SH,20260313,09:35,0.0,0,False
605388.SH,20260313,09:35,0.0,0,False
601878.SH,20260313,09:35,2.312187429949525,9971,False
600726.SH,20260313,09:35,25.237095413527147,1342208,True
688159.SH,20260313,09:35,0.0,0,False
603229.SH,20260313,09:35,0.0,0,False
688536.SH,20260313,09:35,5.440320753980135,5224,False
600893.SH,20260313,09:35,4.0370068439911275,42588,False
600522.SH,20260313,09:35,5.536944708199671,198775,False
600556.SH,20260313,09:35,2.7178773314799605,28221,False
600420.SH,20260313,09:35,2.79618965319363,6903,False
600979.SH,20260313,09:35,4.79059453555359,139254,False
603730.SH,20260313,09:35,6.600970575739477,31268,False
605066.SH,20260313,09:35,1.9190829038189872,11032,False
601168.SH,20260313,09:35,3.698860021790475,33723,False
603949.SH,20260313,09:35,6.000769242690434,17747,False
600774.SH,20260313,09:35,0.0,0,False
603097.SH,20260313,09:35,3.194126308900523,5206,False
688393.SH,20260313,09:35,0.0,0,False
688788.SH,20260313,09:35,3.828463248003951,1938,False
600676.SH,20260313,09:35,2.7551715650427533,19309,False
688291.SH,20260313,09:35,0.0,0,False
600219.SH,20260313,09:35,3.7142585237159933,225229,False
600602.SH,20260313,09:35,3.6601506112773863,105829,False
603195.SH,20260313,09:35,2.76672462080011,1346,False
601928.SH,20260313,09:35,3.1227578871980053,6068,False
600285.SH,20260313,09:35,6.4019317599192895,9677,False
688616.SH,20260313,09:35,2.467078391007418,3775,False
603109.SH,20260313,09:35,0.0,0,False
688662.SH,20260313,09:35,2.64429698259672,4488,False
688279.SH,20260313,09:35,2.9665630768511813,529,False
603566.SH,20260313,09:35,3.3509833978539323,2687,False
688095.SH,20260313,09:35,3.7803942655163967,1992,False
600406.SH,20260313,09:35,2.759978563273295,94760,False
603391.SH,20260313,09:35,2.640882387575397,841,False
688466.SH,20260313,09:35,0.0,0,False
603379.SH,20260313,09:35,4.922275939010785,7721,False
600081.SH,20260313,09:35,0.0,0,False
688009.SH,20260313,09:35,1.8410798002563902,26521,False
601601.SH,20260313,09:35,2.227642988177336,13995,False
603716.SH,20260313,09:35,3.228033792253634,18938,False
603660.SH,20260313,09:35,3.7244542125296287,12060,False
605136.SH,20260313,09:35,0.0,0,False
601777.SH,20260313,09:35,3.975347070083267,19998,False
600829.SH,20260313,09:35,0.0,0,False
600183.SH,20260313,09:35,3.470582002262791,33845,False
600598.SH,20260313,09:35,2.5900215562367483,26904,False
688510.SH,20260313,09:35,2.751547223822353,7145,False
601318.SH,20260313,09:35,2.4192820127749757,30608,False
603688.SH,20260313,09:35,3.7443028232032165,20189,False
688197.SH,20260313,09:35,0.0,0,False
600570.SH,20260313,09:35,3.890426444890968,18813,False
688475.SH,20260313,09:35,3.7843139279188134,4582,False
601666.SH,20260313,09:35,3.960749649125831,55524,False
600489.SH,20260313,09:35,6.657298524517612,88750,False
688401.SH,20260313,09:35,1.2911400997884304,951,False
600938.SH,20260313,09:35,3.2943639181728117,105547,False
600415.SH,20260313,09:35,2.2300905677418275,16667,False
603799.SH,20260313,09:35,5.128123545858406,42980,False
603382.SH,20260313,09:35,0.0,0,False
600461.SH,20260313,09:35,2.692617753518573,4857,False
603280.SH,20260313,09:35,1.2256417148232766,760,False
688184.SH,20260313,09:35,0.0,0,False
600517.SH,20260313,09:35,3.5930830699058283,46162,False
600563.SH,20260313,09:35,3.0120427585584775,3339,False
600178.SH,20260313,09:35,0.0,0,False
603268.SH,20260313,09:35,2.065773665832052,3833,False
688577.SH,20260313,09:35,4.100082702776097,1384,False
603607.SH,20260313,09:35,33.16578061608525,29191,False
605151.SH,20260313,09:35,0.0,0,False
688118.SH,20260313,09:35,3.8043296859009685,5034,False
688503.SH,20260313,09:35,6.79452098699155,14133,False
601588.SH,20260313,09:35,5.5167799428972435,35867,False
688380.SH,20260313,09:35,2.830077961270853,4642,False
600308.SH,20260313,09:35,3.7340294814178634,21956,False
600713.SH,20260313,09:35,0.0,0,False
603018.SH,20260313,09:35,0.0,0,False
688707.SH,20260313,09:35,3.6270951297810905,5621,False
603477.SH,20260313,09:35,3.643965832144943,14714,False
688368.SH,20260313,09:35,2.2480133264152493,686,False
688605.SH,20260313,09:35,1.5817981369933054,825,False
603501.SH,20260313,09:35,3.0260522300432635,6024,False
688671.SH,20260313,09:35,0.0,0,False
603858.SH,20260313,09:35,0.0,0,False
600665.SH,20260313,09:35,0.0,0,False
688282.SH,20260313,09:35,0.0,0,False
688699.SH,20260313,09:35,2.17823138571135,1590,False
600611.SH,20260313,09:35,0.0,0,False
603186.SH,20260313,09:35,3.7813304984258087,9248,False
603969.SH,20260313,09:35,2.073500718627302,5380,False
600754.SH,20260313,09:35,1.1941627551189569,2101,False
600720.SH,20260313,09:35,3.3756359457004845,7000,False
605366.SH,20260313,09:35,4.571766050708559,45027,False
603444.SH,20260313,09:35,11.03977736193081,2876,False
688636.SH,20260313,09:35,1.9883542752068648,1622,False
603883.SH,20260313,09:35,2.5849343133066616,3454,False
603129.SH,20260313,09:35,1.7701709179452023,624,False
688259.SH,20260313,09:35,1.7390732829444628,882,False
600622.SH,20260313,09:35,0.0,0,False
600239.SH,20260313,09:35,0.0,0,False
601908.SH,20260313,09:35,5.326767383560726,98903,False
603359.SH,20260313,09:35,0.0,0,False
688432.SH,20260313,09:35,3.4719721589986907,11498,False
688029.SH,20260313,09:35,0.0,0,False
605060.SH,20260313,09:35,3.898769829764321,5883,False
600426.SH,20260313,09:35,5.096239726052165,52851,False
600997.SH,20260313,09:35,7.334789674851486,63823,False
600452.SH,20260313,09:35,3.8151542765907775,75987,False
605088.SH,20260313,09:35,0.0,0,False
600895.SH,20260313,09:35,3.0795549383763494,11116,False
600550.SH,20260313,09:35,2.4544940769302923,65743,False
605116.SH,20260313,09:35,2.400878000782127,1586,False
605162.SH,20260313,09:35,0.0,0,False
600809.SH,20260313,09:35,3.0773885265302856,2882,False
688530.SH,20260313,09:35,3.2711181947823174,7799,False
600435.SH,20260313,09:35,3.0154624022576284,30774,False
