排名,股票代码,最新价,昨收价,涨跌幅(%),竞价量,竞价额,买盘,卖盘,时间
2985,603127.SH,37.18,37.32,-0.38,212,788200.00,132,160,09:26:17
2986,300783.SZ,23.34,23.44,-0.43,212,494800.00,369,189,09:26:17
2987,300183.SZ,16.27,16.26,0.06,211,343300.00,91,15,09:26:17
2988,002802.SZ,13.86,13.86,0.00,211,292400.00,144,822,09:26:17
2989,600488.SH,4.31,4.31,0.00,211,90900.00,1451,3508,09:26:16
2990,001395.SZ,44.45,44.1,0.79,211,937900.00,20,29,09:26:17
2991,600160.SH,39.78,39.87,-0.23,211,839400.00,122,118,09:26:16
2992,603990.SH,15.04,14.99,0.33,211,317300.00,191,301,09:26:17
2993,600702.SH,55.68,55.7,-0.04,211,1174800.00,12,64,09:26:17
2994,000972.SZ,3.54,3.54,0.00,211,74700.00,5548,2602,09:26:17
2995,600847.SH,14.07,14.05,0.14,211,296900.00,232,81,09:26:17
2996,301185.SZ,21.13,21.15,-0.09,210,443700.00,55,204,09:26:17
2997,001326.SZ,64,63.66,0.53,210,1344000.00,182,68,09:26:17
2998,688001.SH,32.54,32.8,-0.79,210,683800.00,86,48,09:26:17
2999,688336.SH,60.06,60.47,-0.68,210,1262600.00,297,70,09:26:16
3000,600012.SH,14.41,14.41,0.00,210,302600.00,156,207,09:26:17
3001,600897.SH,17.76,17.81,-0.28,210,373000.00,160,124,09:26:17
3002,002696.SZ,7.7,7.71,-0.13,210,161700.00,285,301,09:26:17
3003,301062.SZ,10.08,10.09,-0.10,210,211700.00,495,150,09:26:17
3004,603716.SH,22.23,22.22,0.05,210,466800.00,283,97,09:26:16
3005,603066.SH,11.23,11.18,0.45,209,234700.00,104,913,09:26:16
3006,603969.SH,9.81,9.83,-0.20,209,205000.00,70,850,09:26:16
3007,600350.SH,10.25,10.2,0.49,209,214200.00,120,983,09:26:16
3008,002601.SZ,20.98,21.05,-0.33,209,438500.00,79,708,09:26:17
3009,600834.SH,9.01,8.98,0.33,208,187400.00,127,1020,09:26:16
3010,300160.SZ,5.99,6,-0.17,208,124600.00,517,1067,09:26:17
3011,301210.SZ,39.75,39.69,0.15,208,826800.00,90,45,09:26:17
3012,600707.SH,6.66,6.68,-0.30,208,138500.00,1691,721,09:26:16
3013,002022.SZ,6.28,6.32,-0.63,208,130600.00,1198,1476,09:26:17
3014,600189.SH,8.35,8.36,-0.12,208,173700.00,339,822,09:26:16
3015,301159.SZ,48.96,49.01,-0.10,208,1018400.00,65,68,09:26:17
3016,300341.SZ,17.44,17.43,0.06,207,361000.00,863,65,09:26:17
3017,603728.SH,71.8,71.92,-0.17,207,1486300.00,12,344,09:26:16
3018,603950.SH,34.6,34.65,-0.14,207,716200.00,34,86,09:26:16
3019,600866.SH,7.21,7.22,-0.14,207,149200.00,1975,1647,09:26:17
