code,entry_price,entry_date,exit_price,exit_date,quantity,pnl,pnl_pct,holding_days
600477.SH,3.6,20260109,3.96,20260112,100,35.999999999999986,9.999999999999996,3
002431.SZ,2.75,20260109,2.69,20260206,100,-6.000000000000005,-2.181818181818184,28
003004.SZ,27.24,20260109,26.17,20260206,100,-106.99999999999967,-3.9280469897209866,28
002044.SZ,6.74,20260112,6.84,20260206,100,9.999999999999964,1.4836795252225465,25
