type,code,date,price,pnl,pnl_pct
buy,002431.SZ,20260109,2.75,,
buy,003004.SZ,20260109,27.24,,
buy,600477.SH,20260109,3.6,,
sell,600477.SH,20260112,3.96,35.999999999999986,9.999999999999996
buy,002044.SZ,20260112,6.74,,
sell,002431.SZ,20260206,2.69,-6.000000000000005,-2.181818181818184
sell,003004.SZ,20260206,26.17,-106.99999999999967,-3.9280469897209866
sell,002044.SZ,20260206,6.84,9.999999999999964,1.4836795252225465
