stock,fri_atr_ratio,fri_vol_ratio,fri_amt_ratio,fri_change,mon_atr_ratio,mon_vol_ratio,mon_amt_ratio,mon_change,has_fri_signal,is_mon_breakout,prepos_signal
000429.SZ,1.426,0.731,0.736,1.66,1.224,1.003,1.016,0.41,True,False,False
301189.SZ,0.985,0.715,0.713,2.78,0.957,0.781,0.776,-2.11,False,False,False
000032.SZ,1.875,1.408,1.369,4.88,1.369,1.056,1.004,-4.55,True,False,False
300709.SZ,0.986,0.939,0.942,-0.39,1.105,0.894,0.887,-2.05,False,False,False
000998.SZ,0.655,0.668,0.664,0.4,0.943,1.424,1.441,1.9,False,False,False
002125.SZ,0.899,1.004,1.038,2.65,0.732,1.127,1.172,-0.26,False,False,False
300366.SZ,0.511,0.734,0.72,0.6,1.323,1.33,1.27,-3.42,False,False,False
002151.SZ,0.45,0.506,0.487,0.09,2.101,2.526,2.531,4.22,False,False,False
002867.SZ,0.332,0.426,0.398,0.08,0.8,0.84,0.785,0.16,False,False,False
301161.SZ,0.674,1.107,1.132,-1.19,0.557,0.962,0.974,-2.0,False,False,False
000970.SZ,0.799,0.975,1.031,1.8,1.127,1.331,1.382,-2.02,False,False,False
300795.SZ,0.381,0.547,0.527,0.29,1.574,1.125,1.044,-4.97,False,False,False
301115.SZ,1.456,1.555,1.695,2.78,1.328,1.633,1.775,-0.96,True,False,False
002813.SZ,0.536,0.574,0.574,0.21,1.204,1.118,1.075,-4.69,False,False,False
000659.SZ,1.193,0.914,0.939,2.99,1.211,0.915,0.907,-4.77,False,False,False
300579.SZ,0.787,0.774,0.777,1.94,1.82,1.723,1.634,-6.29,False,False,False
300162.SZ,0.62,0.582,0.587,0.0,1.463,0.94,0.92,-5.28,False,False,False
002355.SZ,0.45,0.698,0.719,-1.36,0.888,0.92,0.906,-4.53,False,False,False
002321.SZ,0.607,0.48,0.469,0.85,0.738,0.826,0.801,-1.27,False,False,False
300591.SZ,0.343,0.491,0.463,0.36,0.715,1.046,1.005,0.36,False,False,False
301311.SZ,0.558,1.046,1.072,0.3,0.697,1.092,1.106,-2.35,False,False,False
300820.SZ,0.482,0.513,0.493,-1.89,0.782,0.516,0.491,-2.48,False,False,False
301365.SZ,1.147,2.051,2.155,3.34,0.987,1.498,1.539,-2.78,False,False,False
300854.SZ,1.177,1.255,1.479,4.23,1.907,1.679,1.815,-9.4,False,False,False
