timestamp,mode,phase,decision,confidence,price,pct_change,risk_score
2026-02-03 14:20:25,realtime,TRADING,WAIT,0.5,24.88,0,0
2026-02-03 14:22:35,realtime,TRADING,WAIT,0.5,24.91,0,1.5
2026-02-03 14:28:04,realtime,TRADING,WAIT,0.5,24.88,0,1.5
2026-02-03 14:29:10,realtime,TRADING,WAIT,0.0,0,0,0
2026-02-03 14:29:38,realtime,TRADING,WAIT,0.0,0,0,0
2026-02-03 14:32:02,realtime,TRADING,WAIT,0.0,0,0,0
2026-02-03 14:33:13,realtime,TRADING,WAIT,0.0,0,0,0
2026-02-03 14:33:51,realtime,TRADING,WAIT,0.0,0,0,0
2026-02-03 14:34:23,realtime,TRADING,WAIT,0.5,23.89,0.0,0
2026-02-03 14:35:06,realtime,TRADING,WAIT,0.5,23.89,0.0,0
2026-02-03 14:44:01,realtime,TRADING,WAIT,0.5,24.83,-0.12067578439260312,0
2026-02-03 14:48:05,realtime,TRADING,WAIT,0.5,24.83,-0.08048289738431841,0
2026-02-03 14:54:50,realtime,TRADING,,0,0,0,0
2026-02-03 14:57:08,realtime,TRADING,,0,0,0,0
2026-02-03 14:57:15,realtime,TRADING,,0,0,0,0
2026-02-03 14:58:56,realtime,TRADING,,0,0,0,0
2026-02-03 14:59:02,realtime,TRADING,,0,0,0,0
2026-02-03 14:59:44,realtime,TRADING,,0,0,0,0
2026-02-03 14:59:53,realtime,TRADING,,0,0,0,0
2026-02-03 15:00:00,realtime,TRADING,,0,0,0,0
2026-02-03 15:05:44,after_hours,AFTER_HOURS,,0,0,0,0
2026-02-03 15:05:59,after_hours,AFTER_HOURS,,0,0,0,0
2026-02-03 15:06:04,realtime,TRADING,,0,0,0,0
2026-02-03 15:06:14,after_hours,AFTER_HOURS,,0,0,0,0
2026-02-03 15:06:40,after_hours,AFTER_HOURS,,0,0,0,0
2026-02-03 15:13:14,after_hours,AFTER_HOURS,,0,0,0,0
2026-02-03 15:17:06,after_hours,AFTER_HOURS,,0,0,0,0
2026-02-03 15:19:16,after_hours,AFTER_HOURS,,0,0,0,0
2026-02-03 15:20:30,after_hours,AFTER_HOURS,,0,0,0,0
2026-02-03 15:21:24,after_hours,AFTER_HOURS,,0,0,0,0
2026-02-03 15:22:26,after_hours,AFTER_HOURS,,0,0,0,0
2026-02-03 15:23:33,after_hours,AFTER_HOURS,,0,0,0,0
2026-02-03 15:28:36,after_hours,AFTER_HOURS,,0,0,0,0
2026-02-03 15:46:08,after_hours,AFTER_HOURS,,0,0,0,0
2026-02-03 15:55:16,after_hours,AFTER_HOURS,,0,0,0,0
2026-02-03 15:55:36,after_hours,AFTER_HOURS,,0,0,0,0
2026-02-03 15:58:55,after_hours,AFTER_HOURS,,0,0,0,0
2026-02-03 15:59:57,after_hours,AFTER_HOURS,,0,0,0,0
2026-02-03 16:12:00,after_hours,AFTER_HOURS,,0,0,0,0
2026-02-03 16:40:56,after_hours,AFTER_HOURS,,0,0,0,0
2026-02-03 16:42:22,after_hours,AFTER_HOURS,,0,0,0,0
2026-02-03 16:46:15,after_hours,AFTER_HOURS,,0,0,0,0
2026-02-03 16:50:31,after_hours,AFTER_HOURS,,0,0,0,0
2026-02-03 16:51:07,after_hours,AFTER_HOURS,,0,0,0,0
2026-02-03 16:52:35,after_hours,AFTER_HOURS,,0,0,0,0
2026-02-03 16:59:38,after_hours,AFTER_HOURS,,0,0,0,0
2026-02-03 17:00:24,after_hours,AFTER_HOURS,,0,0,0,0
2026-02-03 17:04:57,after_hours,AFTER_HOURS,,0,0,0,0
2026-02-03 17:06:00,after_hours,AFTER_HOURS,,0,0,0,0
2026-02-03 17:09:50,after_hours,AFTER_HOURS,,0,0,0,0
2026-02-03 17:13:53,after_hours,AFTER_HOURS,,0,0,0,0
2026-02-03 17:14:42,after_hours,AFTER_HOURS,,0,0,0,0
2026-02-03 17:34:10,after_hours,AFTER_HOURS,,0,0,0,0
2026-02-03 18:11:55,after_hours,AFTER_HOURS,,0,0,0,0
2026-02-03 18:48:09,after_hours,AFTER_HOURS,,0,0,0,0
2026-02-03 19:02:07,historical,,,0,0,0,0
2026-02-03 19:03:38,after_hours,AFTER_HOURS,,0,0,0,0
2026-02-03 19:09:53,after_hours,AFTER_HOURS,,0,0,0,0
2026-02-03 19:30:54,after_hours,AFTER_HOURS,,0,0,0,0
2026-02-03 19:31:35,after_hours,AFTER_HOURS,,0,0,0,0
2026-02-03 19:33:48,after_hours,AFTER_HOURS,,0,0,0,0
2026-02-03 19:39:05,after_hours,AFTER_HOURS,,0,0,0,0
2026-02-03 19:40:40,after_hours,AFTER_HOURS,,0,0,0,0
