buy_count,description,name,code,yesterday_count,comments_count,id,total_fund,choice_count,date,source
139,,航天发展,000547,193,0,732,2611.090000000001,0,20251230,wanzhu_api
77,,神剑股份,002361,127,0,7851,1128.0999999999995,0,20251230,wanzhu_api
68,,N双欣,001369,0,0,23900,418.75999999999993,0,20251230,wanzhu_api
67,,信维通信,300136,37,0,8308,2520.3399999999992,0,20251230,wanzhu_api
66,,天奇股份,002009,37,1,1677,837.8100000000006,0,20251230,wanzhu_api
57,,平潭发展,000592,72,1,7495,1539.7799999999995,0,20251230,wanzhu_api
48,,鲁信创投,600783,35,0,9256,3702.8900000000003,0,20251230,wanzhu_api
46,,翠微股份,603123,23,0,1259,661.6600000000003,0,20251230,wanzhu_api
44,,航天动力,600343,32,0,2251,2779.7000000000003,0,20251230,wanzhu_api
41,,三花智控,002050,11,0,7684,1029.0499999999997,0,20251230,wanzhu_api
40,,英维克,002837,37,0,715,1115.0,0,20251230,wanzhu_api
40,,顺灏股份,002565,32,0,2031,751.5999999999997,0,20251230,wanzhu_api
40,,奕东电子,301123,30,0,19767,667.0800000000002,0,20251230,wanzhu_api
39,,天际股份,002759,60,0,8070,800.4099999999999,0,20251230,wanzhu_api
38,,华菱线缆,001208,24,0,1345,668.2500000000001,0,20251230,wanzhu_api
37,,合兴包装,002228,45,0,7778,264.79999999999995,0,20251230,wanzhu_api
37,,鹭燕医药,002788,42,0,8087,1012.9399999999999,0,20251230,wanzhu_api
35,,大业股份,603278,35,0,9594,1189.91,0,20251230,wanzhu_api
35,,通宇通讯,002792,50,1,8090,1469.3099999999997,0,20251230,wanzhu_api
34,,昊志机电,300503,26,0,303,319.6699999999999,0,20251230,wanzhu_api
33,,川润股份,002272,16,0,7798,956.6599999999995,0,20251230,wanzhu_api
31,,长盈精密,300115,17,0,8301,1420.2699999999998,0,20251230,wanzhu_api
31,,东芯股份,688110,16,0,9989,1938.99,0,20251230,wanzhu_api
31,,超捷股份,301005,17,0,487,280.1800000000001,0,20251230,wanzhu_api
30,,泰尔股份,002347,39,1,7847,85.29,0,20251230,wanzhu_api
30,,浙江世宝,002703,40,1,8042,309.89,0,20251230,wanzhu_api
28,,福龙马,603686,17,0,2234,354.31999999999994,0,20251230,wanzhu_api
28,,中国卫通,601698,6,0,9441,909.1300000000003,0,20251230,wanzhu_api
27,,蓝色光标,300058,9,2,107,466.45999999999987,0,20251230,wanzhu_api
26,,航天电子,600879,16,0,9314,222.87399999999994,0,20251230,wanzhu_api
24,,首开股份,600376,9,0,438,137.92,0,20251230,wanzhu_api
24,,东百集团,600693,48,0,9217,313.638,0,20251230,wanzhu_api
24,,五洲新春,603667,19,0,1809,715.0699999999999,0,20251230,wanzhu_api
23,,国晟科技,603778,36,0,896,1940.11,0,20251230,wanzhu_api
23,,赛微电子,300456,18,0,36,596.63,0,20251230,wanzhu_api
22,,力星股份,300421,12,0,8472,380.3499999999999,0,20251230,wanzhu_api
22,,海南发展,002163,34,0,7743,160.20000000000002,0,20251230,wanzhu_api
22,,御银股份,002177,18,0,2544,716.1399999999999,0,20251230,wanzhu_api
22,,硕贝德,300322,2,0,458,855.51,0,20251230,wanzhu_api
21,,拉卡拉,300773,15,0,8682,421.8599999999999,0,20251230,wanzhu_api
21,,合富中国,603122,17,0,20020,254.54000000000002,0,20251230,wanzhu_api
20,,金风科技,002202,31,0,1003,218.54999999999998,0,20251230,wanzhu_api
