code,name,date,label,success,sustain_score,env_score,is_true_breakout,confidence,pnl_pct,max_drawdown,data_source,sustain_duration
000547,航天发展,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
000547,航天发展,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
000547,航天发展,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300058,蓝色光标,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300058,蓝色光标,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300058,蓝色光标,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
000592,平潭发展,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
000592,平潭发展,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
000592,平潭发展,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002792,通宇通讯,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002792,通宇通讯,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002792,通宇通讯,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
603778,国晟科技,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
603778,国晟科技,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
603778,国晟科技,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
301005,超捷股份,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
301005,超捷股份,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
301005,超捷股份,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
603516,淳中科技,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
603516,淳中科技,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
603516,淳中科技,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
600343,航天动力,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
600343,航天动力,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
600343,航天动力,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300102,乾照光电,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300102,乾照光电,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300102,乾照光电,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
688110,东芯股份,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
688110,东芯股份,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
688110,东芯股份,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002149,西部材料,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002149,西部材料,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002149,西部材料,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
600879,航天电子,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
600879,航天电子,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
600879,航天电子,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300342,天银机电,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300342,天银机电,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300342,天银机电,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
600498,烽火通信,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
600498,烽火通信,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
600498,烽火通信,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300456,赛微电子,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300456,赛微电子,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300456,赛微电子,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300475,香农芯创,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300475,香农芯创,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300475,香农芯创,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002050,三花智控,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002050,三花智控,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002050,三花智控,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300136,信维通信,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300136,信维通信,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300136,信维通信,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002131,利欧股份,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002131,利欧股份,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002131,利欧股份,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
600986,浙文互联,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
600986,浙文互联,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
600986,浙文互联,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
600693,东百集团,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
600693,东百集团,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
600693,东百集团,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002361,神剑股份,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002361,神剑股份,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002361,神剑股份,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002565,顺灏股份,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002565,顺灏股份,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002565,顺灏股份,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002202,金风科技,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002202,金风科技,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002202,金风科技,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002465,海格通信,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002465,海格通信,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002465,海格通信,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
600118,中国卫星,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
600118,中国卫星,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
600118,中国卫星,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
603601,再升科技,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
603601,再升科技,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
603601,再升科技,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
