code,name,appear_count,avg_buy_count,max_buy_count,avg_fund,max_fund,total_fund,score,layer
000547,航天发展,58,81.70689655172414,193,1719.533472413793,4610.450000000003,99732.9414,52.87066938275863,高频核心
300058,蓝色光标,48,50.66666666666666,119,1246.9683083333334,4629.367799999999,59854.4788,38.14090492500001,高频核心
000592,平潭发展,48,42.04166666666666,88,784.6555041666667,2130.6509999999994,37663.4642,34.1664665125,高频核心
002792,通宇通讯,49,34.326530612244895,101,1351.615963265306,5594.656999999997,66229.1822,33.95280707346939,高频核心
603778,国晟科技,58,20.56896551724138,50,1488.807551724138,3479.6900000000005,86350.838,33.83711231034483,高频核心
301005,超捷股份,55,20.69090909090909,44,510.15802909090905,2278.7599999999984,28058.6916,29.737746814545453,高频核心
603516,淳中科技,47,11.76595744680851,24,2452.94270212766,4267.1900000000005,115288.307,29.68861534042553,高频核心
600343,航天动力,49,23.59183673469388,56,967.8777632653062,3383.57,47426.0104,29.58118431020408,高频核心
300102,乾照光电,52,23.65384615384616,60,529.5500403846154,2720.389999999999,27536.6021,29.48480396730769,高频核心
688110,东芯股份,58,12.810344827586206,31,581.6491379310345,1938.99,33735.65,28.788050862068967,高频核心
002149,西部材料,43,30.46511627906977,76,668.4897906976745,3011.510000000001,28745.061,28.345004255813954,高频核心
600879,航天电子,45,25.42222222222222,79,514.9232000000001,2331.190000000001,23171.544,27.171436266666664,高频核心
300342,天银机电,45,20.355555555555554,52,485.7994577777778,1909.76,21860.9756,25.56406504,高频核心
600498,烽火通信,40,20.05,81,492.35265,2296.3699999999994,19694.106,23.49205795,高频核心
300456,赛微电子,41,18.390243902439025,39,302.8778048780488,776.9999999999998,12417.99,22.82570658536585,高频核心
300475,香农芯创,41,12.46341463414634,27,377.55807317073175,1727.8300000000006,15479.881,21.2716986097561,高频核心
002050,三花智控,41,13.731707317073171,42,233.3737609756097,2617.5900000000006,9568.3242,21.219633478048785,高频核心
300136,信维通信,39,66.28205128205128,123,2575.7036666666663,6800.770000000002,100452.44299999998,43.21172638461538,中频活跃
002131,利欧股份,33,48.21212121212121,123,1411.8145909090908,4759.919999999998,46589.8815,31.89908013636364,中频活跃
600986,浙文互联,26,45.96153846153846,118,1175.8712692307693,4332.23,30572.653,27.716075346153847,中频活跃
600693,东百集团,24,49.458333333333336,160,881.3660499999997,4484.279999999999,21152.785199999995,27.08159815,中频活跃
002361,神剑股份,31,40.25806451612903,127,566.8000870967741,1946.3099999999988,17570.802699999997,26.17781961612903,中频活跃
002565,顺灏股份,37,32.054054054054056,100,542.8168243243243,2145.01,20084.2225,26.04466668918919,中频活跃
002202,金风科技,35,26.37142857142857,107,622.0425200000001,4296.050000000002,21771.488200000003,23.77755613142857,中频活跃
002465,海格通信,26,33.42307692307692,134,731.673676923077,4141.22,19023.5156,22.621944107692304,中频活跃
600118,中国卫星,38,20.42105263157895,59,327.2357447368421,984.9399999999998,12434.9583,22.30802302368421,中频活跃
603601,再升科技,35,24.31428571428572,65,274.2951857142857,945.88,9600.3315,22.11717127142857,中频活跃
600151,航天机电,32,25.0625,97,464.54569375,1895.7490000000007,14865.4622,21.71238708125,中频活跃
002837,英维克,36,18.80555555555556,74,512.6961111111111,1424.0399999999995,18457.06,21.579755,中频活跃
300986,志特新材,28,24.464285714285715,40,857.6473571428571,2663.67,24014.126,21.112227785714285,中频活跃
301171,易点天下,30,22.53333333333333,59,565.76069,2456.1807000000003,16972.8207,20.45728207,中频活跃
002703,浙江世宝,24,31.625,77,442.1819958333333,1688.7199999999991,10612.367899999996,20.4140459875,中频活跃
002413,雷科防务,35,18.228571428571428,68,290.10766571428576,2197.8100000000004,10153.768300000002,20.338894425714287,中频活跃
603122,合富中国,29,25.517241379310345,71,360.88434482758623,1423.4499999999996,10465.646,20.337825448275865,中频活跃
001208,华菱线缆,25,27.48,68,622.908524,1895.3900000000008,15572.7131,20.112725572,中频活跃
002759,天际股份,25,24.88,94,868.2403199999998,5335.829999999995,21706.007999999994,20.06872096,中频活跃
300442,润泽科技,28,20.75,49,809.0771428571428,3411.750000000001,22654.16,19.85223142857143,中频活跃
002639,雪人集团,28,23.464285714285715,119,246.3061392857143,1182.4099999999996,6896.5719,18.978204132142857,中频活跃
002788,鹭燕医药,22,28.63636363636364,59,453.7525,1012.94,9982.555,18.75216659090909,中频活跃
300762,上海瀚讯,34,14.117647058823527,31,294.08911764705886,1136.89,9999.03,18.71756147058824,中频活跃
002342,巨力索具,26,23.07692307692308,67,395.56464230769234,1748.3590000000002,10284.6807,18.50977085,中频活跃
300115,长盈精密,27,18.925925925925927,36,667.2185185185184,1420.2699999999998,18014.9,18.479433333333333,中频活跃
300548,长芯博创,35,10.371428571428572,35,328.91828571428573,979.5300000000004,11512.14,18.098183428571428,中频活跃
300308,中际旭创,34,9.588235294117649,18,440.58,1101.0300000000002,14979.72,17.798210588235293,中频活跃
603667,五洲新春,31,14.225806451612904,42,280.1993096774193,1126.6300000000003,8686.1786,17.508339864516127,中频活跃
301308,江波龙,34,9.529411764705882,19,332.4588235294118,1038.4900000000002,11303.6,17.456200000000003,中频活跃
688270,臻镭科技,32,10.4375,17,495.785271875,1001.5331,15865.1287,17.418605815625,中频活跃
601138,工业富联,36,8.277777777777779,15,169.38076666666666,676.4374999999999,6097.7076,17.391475633333332,中频活跃
300300,海峡创新,28,14.5,24,289.21011785714285,724.3999999999997,8097.883299999999,16.41763035357143,中频活跃
000559,万向钱潮,26,17.5,49,238.225,1466.0700000000002,6193.85,16.364675000000002,中频活跃
