time,open,high,low,close,volume,amount,time_str
1767929280000,10.43,10.43,10.43,10.43,557,580951.0,2026-01-09 11:28:00
1767929340000,10.43,10.43,10.43,10.43,535,558005.0,2026-01-09 11:29:00
1767929400000,10.43,10.43,10.43,10.43,242,252406.0,2026-01-09 11:30:00
1767934860000,10.43,10.43,10.43,10.43,4955,5168795.0,2026-01-09 13:01:00
1767934920000,10.43,10.43,10.43,10.43,537,560091.0,2026-01-09 13:02:00
1767934980000,10.43,10.43,10.43,10.43,527,549661.0,2026-01-09 13:03:00
1767935040000,10.43,10.43,10.43,10.43,290,302470.0,2026-01-09 13:04:00
1767935100000,10.43,10.43,10.43,10.43,343,357749.0,2026-01-09 13:05:00
1767935160000,10.43,10.43,10.43,10.43,3438,3585834.0000000005,2026-01-09 13:06:00
1767935220000,10.43,10.43,10.43,10.43,373,389039.0,2026-01-09 13:07:00
1767935280000,10.43,10.43,10.43,10.43,202,210686.0,2026-01-09 13:08:00
1767935340000,10.43,10.43,10.43,10.43,127,132461.0,2026-01-09 13:09:00
1767935400000,10.43,10.43,10.43,10.43,175,182525.0,2026-01-09 13:10:00
1767935460000,10.43,10.43,10.43,10.43,206,214858.0,2026-01-09 13:11:00
1767935520000,10.43,10.43,10.43,10.43,283,295169.0,2026-01-09 13:12:00
1767935580000,10.43,10.43,10.43,10.43,156,162708.0,2026-01-09 13:13:00
1767935640000,10.43,10.43,10.43,10.43,197,205471.0,2026-01-09 13:14:00
1767935700000,10.43,10.43,10.43,10.43,69,71967.0,2026-01-09 13:15:00
1767935760000,10.43,10.43,10.43,10.43,219,228521.0,2026-01-09 13:16:00
1767935820000,10.43,10.43,10.43,10.43,99,103257.0,2026-01-09 13:17:00
1767935880000,10.43,10.43,10.43,10.43,200,208600.0,2026-01-09 13:18:00
1767935940000,10.43,10.43,10.43,10.43,222,231546.00000000003,2026-01-09 13:19:00
1767936000000,10.43,10.43,10.43,10.43,437,455196.0,2026-01-09 13:20:00
1767936060000,10.43,10.43,10.43,10.43,85,88655.0,2026-01-09 13:21:00
1767936120000,10.43,10.43,10.43,10.43,208,216944.0,2026-01-09 13:22:00
1767936180000,10.43,10.43,10.43,10.43,51,53193.0,2026-01-09 13:23:00
1767936240000,10.43,10.43,10.43,10.43,201,209643.00000000003,2026-01-09 13:24:00
1767936300000,10.43,10.43,10.43,10.43,204,212772.0,2026-01-09 13:25:00
1767936360000,10.43,10.43,10.43,10.43,197,205471.0,2026-01-09 13:26:00
1767936420000,10.43,10.43,10.43,10.43,131,136633.0,2026-01-09 13:27:00
1767936480000,10.43,10.43,10.43,10.43,282,294126.0,2026-01-09 13:28:00
1767936540000,10.43,10.43,10.43,10.43,182,189826.0,2026-01-09 13:29:00
1767936600000,10.43,10.43,10.43,10.43,123,128289.0,2026-01-09 13:30:00
