time,price,band_gain_pct,true_gain_pct,flow_1min,volume_1min,price_change_1min,flow_5min,volume_5min,price_change_5min,flow_15min,volume_15min,price_change_15min
09:47:24,12.71,7.98640611724725,10.714285714285717,41897310.0,73342.0,0.7131537242472396,17172956.999999996,243512.0,-0.7031249999999989,343116159.0,1091290.0,5.828476269775196
09:47:27,12.71,7.98640611724725,10.714285714285717,22598806.0,59016.0,0.8730158730158826,19493596.999999996,242665.0,-0.8580343213728504,341237795.0,1090692.0,5.828476269775196
09:47:30,12.7,7.901444350042479,10.62717770034842,23625986.0,58195.0,0.7137192704203003,15562746.999999996,241048.0,-0.9360374414976675,340313235.0,1089527.0,5.745212323064109
09:47:33,12.69,7.816482582837722,10.54006968641114,20159146.0,57115.0,0.7142857142857131,14506938.999999996,238557.0,-0.9367681498829118,339257427.0,1088081.0,5.7499999999999964
09:47:36,12.68,7.731520815632967,10.452961672473862,21225090.0,56265.0,0.6349206349206356,19522583.999999996,234648.0,-0.9375000000000078,339384851.0,1087939.0,5.315614617940204
09:47:39,12.68,7.731520815632967,10.452961672473862,21225090.0,55634.0,0.5551149881046811,22593303.999999996,233480.0,-0.9375000000000078,329970775.0,1081351.0,5.403158769742314
09:47:42,12.68,7.731520815632967,10.452961672473862,18822885.0,54898.0,0.4754358161648218,22593303.999999996,232885.0,-0.9375000000000078,332626999.0,1080312.0,5.578684429641965
09:47:45,12.68,7.731520815632967,10.452961672473862,17157045.0,54900.0,0.2371541501976234,22593303.999999996,233527.0,-0.5490196078431395,333423262.0,1080971.0,5.490848585690517
09:47:48,12.67,7.64655904842821,10.365853658536581,14571106.0,54401.0,0.1581027667984156,25044930.0,231609.0,-0.7053291536050146,331535224.0,1080986.0,5.407653910149754
09:47:51,12.65,7.476635514018698,10.19163763066202,13846261.0,53856.0,-0.15785319652722632,20563540.999999996,229238.0,-0.8620689655172369,330810379.0,1080218.0,5.241264559068226
09:47:54,12.67,7.64655904842821,10.365853658536581,13564987.0,53634.0,-0.07886435331230116,21484649.999999996,228252.0,-0.7053291536050146,331731488.0,1080164.0,5.495420482930892
09:47:57,12.71,7.98640611724725,10.714285714285717,19562061.0,58348.0,0.1576044129235725,29840203.999999996,233999.0,-0.31372549019607177,342659584.0,1084596.0,5.828476269775196
