buy_count,description,name,code,yesterday_count,comments_count,id,total_fund,choice_count,date,source
4,,广西广电,600936,0,0,1810,64.89,0,20251212,wanzhu_api
4,,通宇通讯,002792,7,1,8090,46.56999999999999,0,20251212,wanzhu_api
4,,中芯国际,688981,4,0,168,206.38,0,20251212,wanzhu_api
4,,红相股份,300427,14,0,8477,6.62,0,20251212,wanzhu_api
4,,德科立,688205,3,0,20096,145.15,0,20251212,wanzhu_api
4,,太阳电缆,002300,2,0,879,17.86,0,20251212,wanzhu_api
4,,工业富联,601138,5,0,9385,14.209999999999999,0,20251212,wanzhu_api
4,,三花智控,002050,7,0,7684,104.49,0,20251212,wanzhu_api
4,,新金路,000510,2,0,7456,407.31,0,20251212,wanzhu_api
4,,银河电子,002519,5,0,7940,24.46,0,20251212,wanzhu_api
3,,英唐智控,300131,4,1,2295,838.5300000000001,0,20251212,wanzhu_api
3,,上工申贝,600843,6,0,2475,63.52,0,20251212,wanzhu_api
3,,安记食品,603696,11,0,9723,71.85000000000001,0,20251212,wanzhu_api
3,,再22转债,113657,4,0,22884,90.96,0,20251212,wanzhu_api
3,,信隆健康,002105,6,0,7711,265.12,0,20251212,wanzhu_api
3,,新特电气,301120,0,0,19764,14.42,0,20251212,wanzhu_api
3,,冰山冷热,000530,1,0,466,11.3057,0,20251212,wanzhu_api
3,,实达集团,600734,4,0,9234,21.17,0,20251212,wanzhu_api
