code,name,price,change_pct,sector,limit_up_days,first_time,last_time,open_count,date,source
301362,民爆光电,77.74,20.006175994873047,照明设备,3,092500,092500,0,20260204,akshare_em
002342,巨力索具,17.61,9.993753433227539,通用设备,2,092500,094954,2,20260204,akshare_em
300912,凯龙高科,23.82,20.0,汽车零部,1,092500,092500,0,20260204,akshare_em
603616,韩建河山,6.85,9.951845169067383,水泥,1,092501,092501,0,20260204,akshare_em
600481,双良节能,11.11,10.0,光伏设备,2,092503,094254,4,20260204,akshare_em
000070,特发信息,13.52,10.008136749267578,通信设备,1,093000,093000,0,20260204,akshare_em
603618,杭电股份,12.02,9.972553253173828,电网设备,4,093003,134024,2,20260204,akshare_em
002126,银轮股份,43.21,10.005091667175293,汽车零部,2,093042,142115,20,20260204,akshare_em
002970,锐明技术,67.28,10.006540298461914,计算机设,1,093115,093115,0,20260204,akshare_em
000533,顺钠股份,11.15,9.960552215576172,电网设备,3,093133,093654,3,20260204,akshare_em
600330,天通股份,16.94,10.0,电子化学,2,093234,143543,7,20260204,akshare_em
601096,宏盛华源,6.19,9.946714401245117,专业工程,1,093603,093957,1,20260204,akshare_em
600188,兖矿能源,15.27,10.014410018920898,煤炭开采,1,093651,094548,2,20260204,akshare_em
600072,中船科技,13.33,9.983498573303223,风电设备,1,094141,095244,2,20260204,akshare_em
002300,太阳电缆,9.56,10.011507987976074,电网设备,1,094312,095136,2,20260204,akshare_em
002830,名雕股份,30.95,9.985785484313965,装修装饰,4,094321,094421,1,20260204,akshare_em
601015,陕西黑猫,4.62,10.0,焦炭Ⅱ,1,094528,094528,0,20260204,akshare_em
600792,云煤能源,4.64,9.952607154846191,焦炭Ⅱ,1,094635,100023,1,20260204,akshare_em
600860,京城股份,13.46,9.967320442199707,通用设备,1,095126,095126,0,20260204,akshare_em
300423,昇辉科技,9.98,19.951923370361328,电网设备,1,095203,095203,0,20260204,akshare_em
603334,丰倍生物,53.71,9.993856430053711,化学制品,1,095403,095403,0,20260204,akshare_em
000039,中集集团,11.41,10.028929710388184,通用设备,2,095642,133509,2,20260204,akshare_em
601898,中煤能源,14.08,10.0,煤炭开采,1,095948,095948,0,20260204,akshare_em
601226,华电科工,12.73,10.025928497314453,专业工程,1,100154,150000,5,20260204,akshare_em
601001,晋控煤业,15.86,9.986129760742188,煤炭开采,1,100250,105423,1,20260204,akshare_em
000723,美锦能源,5.17,10.0,焦炭Ⅱ,1,100427,100427,0,20260204,akshare_em
002278,神开股份,14.39,10.015290260314941,专用设备,1,100503,100503,0,20260204,akshare_em
002441,众业达,10.97,10.03009033203125,电网设备,1,100518,100518,0,20260204,akshare_em
300985,致远新能,25.1,19.980878829956055,通用设备,1,100539,100539,0,20260204,akshare_em
600740,山西焦化,4.86,9.954751014709473,焦炭Ⅱ,1,100641,110835,7,20260204,akshare_em
002623,亚玛顿,28.46,10.0115966796875,光伏设备,1,101054,101054,0,20260204,akshare_em
600814,杭州解百,8.91,10.0,一般零售,1,101323,101323,0,20260204,akshare_em
002853,皮阿诺,31.08,10.017699241638184,家居用品,1,101424,111154,1,20260204,akshare_em
000838,财信发展,2.66,9.91735553741455,房地产开,1,101715,101715,0,20260204,akshare_em
603381,永臻股份,25.52,10.0,光伏设备,1,101927,135457,4,20260204,akshare_em
600115,中国东航,6.28,9.982486724853516,航空机场,1,101930,102106,1,20260204,akshare_em
000517,荣安地产,2.04,10.270270347595215,房地产开,1,102224,102224,0,20260204,akshare_em
600778,友好集团,7.96,9.944750785827637,一般零售,1,102722,102722,0,20260204,akshare_em
603778,国晟科技,16.18,9.993202209472656,基础建设,2,102804,102804,0,20260204,akshare_em
300393,中来股份,10.32,20.0,光伏设备,1,103021,103021,0,20260204,akshare_em
002810,山东赫达,19.77,10.016695022583008,化学制品,1,103030,103030,0,20260204,akshare_em
002218,拓日新能,7.04,10.0,电力,1,103115,103115,0,20260204,akshare_em
600683,京投发展,6.0,10.091742515563965,房地产开,2,103712,132027,2,20260204,akshare_em
000560,我爱我家,3.61,10.060976028442383,房地产服,1,103727,134230,1,20260204,akshare_em
002334,英威腾,10.07,10.054644584655762,自动化设,1,104451,104451,0,20260204,akshare_em
301636,泽润新能,89.47,19.997318267822266,光伏设备,2,110054,110054,0,20260204,akshare_em
002928,华夏航空,11.53,10.019083976745605,航空机场,1,110954,110954,0,20260204,akshare_em
001223,欧克科技,60.83,10.0,自动化设,1,112521,112521,0,20260204,akshare_em
601011,宝泰隆,3.64,9.969788551330566,焦炭Ⅱ,1,130039,130039,0,20260204,akshare_em
002286,保龄宝,10.53,10.031347274780273,农产品加,1,130542,130542,0,20260204,akshare_em
688223,晶科能源,8.4,20.0,光伏设备,1,130735,130735,0,20260204,akshare_em
600325,华发股份,4.42,9.950248718261719,房地产开,1,132016,132016,0,20260204,akshare_em
301119,正强股份,57.7,20.008319854736328,汽车零部,1,132048,132048,0,20260204,akshare_em
002355,兴民智通,6.8,10.032362937927246,汽车零部,1,132403,132403,0,20260204,akshare_em
002506,协鑫集成,3.78,9.883721351623535,光伏设备,1,132851,144421,4,20260204,akshare_em
603826,坤彩科技,17.69,10.01243782043457,非金属材,1,132906,133358,2,20260204,akshare_em
601699,潞安环能,13.97,10.0,煤炭开采,1,133909,133909,0,20260204,akshare_em
002791,坚朗五金,25.7,10.017123222351074,装修建材,1,134354,134354,0,20260204,akshare_em
688429,时创能源,18.54,20.0,光伏设备,1,134922,134922,0,20260204,akshare_em
002129,TCL中环,10.57,9.989593505859375,光伏设备,1,135230,141254,1,20260204,akshare_em
003038,鑫铂股份,17.96,9.981629371643066,工业金属,1,140648,140648,0,20260204,akshare_em
605376,博迁新材,100.1,10.0,金属新材,1,143417,143417,0,20260204,akshare_em
600759,洲际油气,4.91,10.089685440063477,油气开采,1,143447,144014,3,20260204,akshare_em
000983,山西焦煤,7.36,10.014947891235352,煤炭开采,1,143515,143515,0,20260204,akshare_em
600546,山煤国际,11.67,9.990574836730957,煤炭开采,1,143600,143600,0,20260204,akshare_em
600403,大有能源,7.36,10.014947891235352,煤炭开采,1,143615,143615,0,20260204,akshare_em
600971,恒源煤电,7.21,10.076335906982422,煤炭开采,1,143828,143828,0,20260204,akshare_em
600997,开滦股份,6.56,10.067113876342773,焦炭Ⅱ,1,144254,144254,0,20260204,akshare_em
