日期,股票代码,竞价价格,昨收价格,成交量,成交额,时间戳
2026-02-13,002659.SZ,6.49,6.51,12496,8107100,2026-02-13T09:31:06.911820
2026-02-13,300386.SZ,16.83,16.77,1545,2601400,2026-02-13T09:31:06.916970
2026-02-13,000507.SZ,5.45,5.48,9538,5204900,2026-02-13T09:31:06.906279
2026-02-13,002554.SZ,3.77,3.85,62188,23771300,2026-02-13T09:31:06.911820
2026-02-13,301622.SZ,69.43,69.85,412,2856700,2026-02-13T09:31:06.923334
2026-02-13,300085.SZ,38.98,38.76,4801,18687400,2026-02-13T09:31:06.914830
2026-02-13,003003.SZ,13.95,13.99,1521,2123600,2026-02-13T09:31:06.914830
2026-02-13,688215.SH,72.16,72.99,119,863300,2026-02-13T09:31:06.901830
2026-02-13,002676.SZ,7.94,7.92,4971,3926300,2026-02-13T09:31:06.911820
2026-02-13,688681.SH,19.96,20.05,804,1605700,2026-02-13T09:31:06.904884
2026-02-13,688345.SH,36.41,36.93,238,872600,2026-02-13T09:31:06.903348
2026-02-13,600252.SH,2.55,2.55,7275,1855100,2026-02-13T09:31:06.891237
2026-02-13,688132.SH,19.48,19.88,1088,2125500,2026-02-13T09:31:06.901830
2026-02-13,300073.SZ,56.51,57.18,4541,25710500,2026-02-13T09:31:06.914830
2026-02-13,301088.SZ,16.4,16.38,312,511500,2026-02-13T09:31:06.920532
2026-02-13,600605.SH,27.92,27.95,137,382900,2026-02-13T09:31:06.892754
2026-02-13,600560.SH,16.79,16.75,507,849000,2026-02-13T09:31:06.892754
2026-02-13,002315.SZ,48.9,49.21,4409,21473600,2026-02-13T09:31:06.910313
2026-02-13,300062.SZ,8.65,8.63,8539,7375000,2026-02-13T09:31:06.914830
2026-02-13,000683.SZ,8.42,8.55,11355,9612800,2026-02-13T09:31:06.907282
2026-02-13,002851.SZ,120.51,121.8,7554,90318400,2026-02-13T09:31:06.913325
2026-02-13,688207.SH,17.23,17.2,2563,4382100,2026-02-13T09:31:06.901830
2026-02-13,300067.SZ,5.8,5.68,71858,41136500,2026-02-13T09:31:06.914830
2026-02-13,300320.SZ,11.16,11.16,2974,3314200,2026-02-13T09:31:06.916970
2026-02-13,603956.SH,6.99,6.93,2932,2034900,2026-02-13T09:31:06.900298
2026-02-13,300746.SZ,13.76,13.78,922,1267600,2026-02-13T09:31:06.919015
2026-02-13,600992.SH,14.55,14.52,3069,4453100,2026-02-13T09:31:06.894273
2026-02-13,002283.SZ,8.59,8.85,29505,25505100,2026-02-13T09:31:06.910313
2026-02-13,605090.SH,43.32,43.55,2001,8660500,2026-02-13T09:31:06.900298
2026-02-13,600971.SH,6.890000000000001,7.01,8479,5885600,2026-02-13T09:31:06.894273
2026-02-13,300990.SZ,87.32000000000001,87.8,1952,16888000,2026-02-13T09:31:06.920532
2026-02-13,002875.SZ,17.35,17.3,251,435400,2026-02-13T09:31:06.913325
2026-02-13,300010.SZ,7.65,7.67,37286,28383200,2026-02-13T09:31:06.914830
2026-02-13,600990.SH,27.47,27.5,975,2674900,2026-02-13T09:31:06.894273
2026-02-13,002501.SZ,2.14,2.1,82337,17685600,2026-02-13T09:31:06.911820
2026-02-13,601166.SH,18.59,18.59,16924,31495500,2026-02-13T09:31:06.895780
2026-02-13,002758.SZ,10.26,10.25,1153,1182700,2026-02-13T09:31:06.913325
2026-02-13,002601.SZ,21.8,22.26,10923,23937200,2026-02-13T09:31:06.911820
2026-02-13,003001.SZ,19.73,19.76,865,1703800,2026-02-13T09:31:06.914830
2026-02-13,600739.SH,12.02,12.02,3236,3894900,2026-02-13T09:31:06.894273
2026-02-13,300149.SZ,11.1,11.1,841,936500,2026-02-13T09:31:06.914830
2026-02-13,600420.SH,10.77,10.75,2120,2281100,2026-02-13T09:31:06.892754
2026-02-13,603281.SH,33.01,33.23,362,1197400,2026-02-13T09:31:06.897285
2026-02-13,002347.SZ,9.76,9.66,19431,19127300,2026-02-13T09:31:06.910313
2026-02-13,688017.SH,230.16,234.48,2577,59306200,2026-02-13T09:31:06.900298
2026-02-13,300335.SZ,6.25,6.25,2500,1560700,2026-02-13T09:31:06.916970
2026-02-13,000930.SZ,6.58,6.62,7800,5144400,2026-02-13T09:31:06.907282
2026-02-13,300242.SZ,5.89,5.89,9008,5314900,2026-02-13T09:31:06.916335
2026-02-13,688110.SH,133.56,134.68,4863,64803000,2026-02-13T09:31:06.901830
2026-02-13,002700.SZ,7.29,7.36,795,581400,2026-02-13T09:31:06.913325
2026-02-13,600630.SH,9.03,9.02,2986,2689300,2026-02-13T09:31:06.892754
2026-02-13,301365.SZ,25.15,25.17,788,1978500,2026-02-13T09:31:06.921807
2026-02-13,603316.SH,13.63,13.55,2056,2786500,2026-02-13T09:31:06.897285
2026-02-13,300283.SZ,8.3,8.35,6927,5749700,2026-02-13T09:31:06.916335
2026-02-13,300688.SZ,32.18,32.01,4539,14573700,2026-02-13T09:31:06.919015
2026-02-13,688560.SH,19.61,19.87,1054,2070000,2026-02-13T09:31:06.903348
2026-02-13,688348.SH,53.72,54.44,596,3211400,2026-02-13T09:31:06.903348
2026-02-13,002330.SZ,5.12,5.11,5196,2670600,2026-02-13T09:31:06.910313
2026-02-13,300925.SZ,22.23,22.1,3706,8192800,2026-02-13T09:31:06.919015
2026-02-13,002695.SZ,11.32,11.29,1538,1743000,2026-02-13T09:31:06.913325
2026-02-13,300729.SZ,14.11,14.08,249,351100,2026-02-13T09:31:06.919015
2026-02-13,000610.SZ,10.14,10.07,2823,2854300,2026-02-13T09:31:06.907282
2026-02-13,605178.SH,61.49,60.99,321,1959900,2026-02-13T09:31:06.900298
2026-02-13,601390.SH,5.56,5.63,173580,96561200,2026-02-13T09:31:06.895780
2026-02-13,603339.SH,14.18,14.28,1122,1596500,2026-02-13T09:31:06.897285
2026-02-13,300841.SZ,70.67,71.02,129,917300,2026-02-13T09:31:06.919015
2026-02-13,300647.SZ,7.05,6.99,2828,1981400,2026-02-13T09:31:06.917482
2026-02-13,002001.SZ,29.57,30.25,8475,25349500,2026-02-13T09:31:06.908805
2026-02-13,301112.SZ,37.86,37.9,109,412700,2026-02-13T09:31:06.920532
2026-02-13,600507.SH,6.4,6.46,6440,4140700,2026-02-13T09:31:06.892754
2026-02-13,002189.SZ,22.54,22.43,294,659800,2026-02-13T09:31:06.910313
2026-02-13,600216.SH,15.98,16.04,3593,5750100,2026-02-13T09:31:06.891237
2026-02-13,000885.SZ,13.51,13.58,2707,3668400,2026-02-13T09:31:06.907282
2026-02-13,605305.SH,39.58,39.9,1265,5033800,2026-02-13T09:31:06.900298
2026-02-13,600759.SH,4.93,5.1,505532,249747800,2026-02-13T09:31:06.894273
2026-02-13,600512.SH,2.49,2.48,5388,1336100,2026-02-13T09:31:06.892754
2026-02-13,001336.SZ,27.72,27.66,728,2015100,2026-02-13T09:31:06.908805
2026-02-13,600608.SH,3.51,3.5,499,174700,2026-02-13T09:31:06.892754
2026-02-13,300331.SZ,44.09,44.19,2149,9454400,2026-02-13T09:31:06.916970
2026-02-13,603261.SH,28.95,28.95,13,37400,2026-02-13T09:31:06.897285
2026-02-13,605255.SH,131.89,126.1,1533,19996900,2026-02-13T09:31:06.900298
2026-02-13,000797.SZ,3.13,3.1,7506,2342400,2026-02-13T09:31:06.907282
2026-02-13,603657.SH,28.89,28.88,131,379100,2026-02-13T09:31:06.898793
2026-02-13,601155.SH,17,17.17,4131,7079200,2026-02-13T09:31:06.895780
2026-02-13,002474.SZ,9.040000000000001,8.97,13873,12532300,2026-02-13T09:31:06.911820
2026-02-13,603690.SH,27.9,27.92,2177,6043100,2026-02-13T09:31:06.898793
2026-02-13,603527.SH,10.93,10.91,1180,1283300,2026-02-13T09:31:06.898793
2026-02-13,688008.SH,167.1,168.11,11677,194282000,2026-02-13T09:31:06.900298
2026-02-13,300158.SZ,6.140000000000001,6.13,13631,8364500,2026-02-13T09:31:06.914830
2026-02-13,002692.SZ,5.54,5.54,2429,1340100,2026-02-13T09:31:06.913325
2026-02-13,301017.SZ,15.53,15.48,1373,2137000,2026-02-13T09:31:06.920532
2026-02-13,603102.SH,44.89,44.9,116,519600,2026-02-13T09:31:06.897285
2026-02-13,601020.SH,32.49,32.8,17807,57304700,2026-02-13T09:31:06.895780
2026-02-13,002339.SZ,12.03,12.27,17134,20705500,2026-02-13T09:31:06.910313
2026-02-13,000691.SZ,8.53,8.57,5744,4913000,2026-02-13T09:31:06.907282
2026-02-13,603238.SH,18.33,18.36,627,1151200,2026-02-13T09:31:06.897285
2026-02-13,300231.SZ,11.72,11.69,3247,3795600,2026-02-13T09:31:06.916335
2026-02-13,300899.SZ,33.74,34.18,8,27200,2026-02-13T09:31:06.919015
2026-02-13,002762.SZ,6.79,6.82,1789,1219200,2026-02-13T09:31:06.913325
2026-02-13,000049.SZ,26.56,26.7,2248,5973400,2026-02-13T09:31:06.905405
2026-02-13,300181.SZ,16.89,16.9,3374,5702400,2026-02-13T09:31:06.914830
2026-02-13,688362.SH,45.7,45.83,3997,18080600,2026-02-13T09:31:06.903348
2026-02-13,603288.SH,35.85,35.94,4257,15297200,2026-02-13T09:31:06.897285
2026-02-13,605388.SH,6.95,6.91,787,545400,2026-02-13T09:31:06.900298
2026-02-13,002803.SZ,18.63,18.65,8497,15690400,2026-02-13T09:31:06.913325
